CodMunIBGE,"PIB (mil R$), a preços de 2010"
5214879,22847
2919009,22862
1715002,22874
3145372,22906
1717206,22919
1718899,22945
3139250,22994
3121902,23020
4123600,23038
4306353,23040
3544707,23066
3554607,23067
2200905,23124
1507466,23155
3503505,23168
3157658,23218
2200459,23226
3163003,23259
3138351,23275
3170602,23316
2205151,23318
2515708,23321
2409506,23324
3153103,23329
3515657,23330
2300606,23341
2910909,23366
3140407,23366
3140209,23369
2413706,23376
3115904,23414
3158102,23418
2413300,23481
4317251,23491
2402907,23493
3117405,23510
3527504,23514
2408508,23515
2709004,23529
2200053,23564
2209005,23612
3144672,23622
2801900,23624
3115201,23636
4311429,23661
2805000,23697
3133907,23700
3521200,23714
4309126,23739
2502102,23769
2205904,23778
3159407,23819
3116209,23844
1714302,23850
3161056,23860
5203939,23871
3115474,23889
2411809,23904
2201960,23929
3127503,23936
2515930,23942
1718550,24034
2206704,24062
3150000,24065
2924108,24073
3149507,24088
3553658,24096
2700805,24114
4319364,24119
3549201,24170
3155207,24181
2919959,24189
3147956,24213
5106174,24227
3130002,24237
3549003,24270
3102506,24276
2513505,24320
2514305,24333
2929354,24334
1506906,24334
5107297,24340
4202099,24341
2922805,24345
3117207,24352
2413102,24362
4311643,24367
3106606,24369
2512200,24434
2500536,24457
3128253,24466
3163201,24468
4305934,24512
4311734,24518
2603405,24534
3125408,24537
3112208,24541
4204756,24570
3127388,24611
5107263,24623
2104628,24654
1713957,24676
2405405,24695
5220058,24748
2210201,24750
2411601,24755
3148400,24756
2402808,24794
3171154,24795
5219506,24807
2200251,24824
3150539,24885
3140605,24893
2703700,24915
4204459,24996
3129657,25026
4313441,25032
5207105,25046
3167905,25071
4320651,25083
3105202,25101
3123858,25126
2312809,25138
2503100,25138
2614402,25158
2513802,25195
3146750,25198
5107743,25214
1701051,25223
4320453,25257
2102374,25259
2705309,25263
4108551,25300
3153202,25302
3136801,25311
2200608,25362
4316428,25367
2505279,25385
3551207,25395
3554755,25408
2514008,25424
3121001,25427
1705607,25436
3136959,25442
3505005,25454
1703073,25458
2508802,25475
4322186,25545
2414704,25567
3120839,25568
3146552,25568
2705408,25580
2309904,25581
3549300,25635
3165909,25644
3505351,25657
4312005,25665
5212006,25681
5221452,25685
2202752,25686
3122108,25699
3112653,25713
2706604,25724
2702207,25725
4119251,25736
2311231,25750
2500205,25767
4209177,25787
2414159,25819
4124202,25839
2205557,25846
4205175,25847
3162252,25879
1718709,25883
3155108,25885
4108106,25906
3150208,25945
2207207,25949
4313466,25961
2202026,25980
2611533,25990
2109759,25993
2401602,26051
2205854,26051
4314787,26064
1721257,26070
2506608,26088
3160108,26091
4107124,26112
3170479,26122
5216908,26168
3126752,26175
2101939,26190
2801108,26214
5205521,26248
2509156,26253
5209408,26298
3120102,26318
4210704,26335
3136553,26349
2513307,26380
2109239,26412
2304277,26418
4318465,26426
3171402,26450
2206506,26463
3122603,26465
2501203,26484
2510204,26508
3546256,26512
2501708,26528
3141702,26545
2204907,26549
5214903,26558
3135456,26599
5204557,26602
3127206,26613
2202778,26680
4214151,26722
3123502,26723
5107198,26779
4314753,26793
3114808,26796
2511707,26876
1711506,26877
2203008,26880
3103603,26910
2914208,26938
4301925,27048
2201705,27054
3150406,27072
4202156,27073
3145802,27078
2209401,27079
2313708,27089
2203453,27127
2111250,27146
2509396,27159
2514404,27174
4301073,27190
4315172,27191
4120200,27219
4215695,27220
4208955,27232
2502607,27236
3160454,27261
3105509,27267
3160009,27275
1717008,27275
2504033,27278
4312625,27279
4213906,27283
4319737,27286
2404903,27309
3146206,27353
3125309,27357
5106455,27363
4215059,27392
3116308,27421
3125200,27423
3137304,27436
4321832,27445
2919900,27481
3157500,27492
2413003,27493
5210307,27505
3171907,27528
3145851,27555
4202081,27557
4125902,27602
1705102,27637
4312179,27643
2803104,27666
3122504,27701
2907400,27760
2403202,27773
3159704,27790
5104500,27795
3130804,27822
2807006,27826
3532868,27840
4315057,27848
2701803,27883
2503555,27896
3533304,27900
2101970,27913
2504702,27947
2210938,27949
2102408,27958
2906402,27967
3156452,27969
5221304,27970
5204607,27973
4305157,28000
2300804,28052
3169059,28060
2708204,28068
1505601,28106
2803807,28116
3120300,28155
2104081,28155
5212907,28163
2922854,28168
2206696,28191
2406007,28207
2901502,28218
3549607,28250
2512721,28273
3157302,28317
2304608,28343
3122470,28359
3530003,28361
4314555,28364
2111573,28392
2111722,28400
3527256,28407
3110806,28411
3127339,28450
2602506,28450
5106273,28464
3162575,28472
2900603,28474
5209606,28531
3150109,28534
2107258,28562
4205431,28588
4322343,28612
4306924,28613
3146255,28615
4128302,28625
3119708,28638
2205953,28647
4308052,28684
1703909,28715
2703908,28731
5200209,28739
2918605,28765
3509957,28773
2503902,28782
3136405,28783
4315131,28793
2206720,28844
1703305,28849
3513850,28893
2513158,28894
2110237,28923
3163409,28931
2307205,28974
2922201,28993
3169109,29008
1712009,29084
2909000,29108
2505600,29135
3126604,29193
2105450,29201
3157401,29204
2406205,29222
2806503,29223
3138682,29249
2502904,29259
2111789,29262
4310579,29265
2103109,29268
4206751,29274
4322376,29289
3100807,29292
3167707,29299
2907558,29343
3117836,29366
2206803,29375
3547403,29392
2405108,29393
3132008,29415
3160959,29448
2508505,29449
3120151,29482
1705557,29498
1503002,29520
4300554,29527
4117297,29528
3138658,29545
2200707,29595
2703403,29606
2801603,29647
3503356,29668
4215687,29677
1710904,29689
4311239,29700
3555307,29706
5221577,29741
2505204,29760
2207405,29762
3549250,29780
3164100,29796
1712157,29817
2308807,29869
4318432,29941
3129905,29973
3159001,29998
4306072,30002
2507606,30034
2201408,30037
4204178,30086
2405207,30090
3501400,30121
3106101,30131
4109104,30158
2412104,30176
3122207,30201
2104503,30208
2510402,30240
3525805,30278
2910776,30300
4110300,30313
3116001,30375
2400901,30375
3544509,30424
2103901,30436
3156106,30439
2100402,30449
4318614,30467
2301505,30506
2208650,30538
3169505,30538
5107404,30568
3142304,30637
3167806,30646
5108352,30648
3166006,30662
3164472,30671
2105989,30679
5106851,30714
4322558,30731
2502003,30744
4111308,30755
2920304,30768
4322350,30784
3161403,30786
2412708,30789
2919108,30792
2106672,30795
3555703,30802
4306759,30805
3167509,30813
3101409,30816
3143450,30837
2923308,30839
2107209,30847
4318457,30873
2903953,30879
4315453,30884
3149606,30897
3533809,30900
2607406,30961
5213053,30961
3110202,30965
5218391,30993
3135357,31017
2202059,31064
3114709,31064
5212600,31072
2306207,31074
2413607,31085
5207501,31087
1721109,31115
4312377,31182
4308250,31200
3126802,31229
2931103,31241
3501509,31245
4309258,31262
4215604,31270
3156502,31290
2401859,31304
3127404,31309
3140555,31338
3546108,31361
3123106,31432
2412401,31488
2925931,31528
4219150,31532
2615102,31544
2515005,31560
1720259,31645
4310413,31648
2110278,31676
5204656,31704
3109600,31706
4305116,31708
2210656,31721
2208700,31793
2101103,31825
1718758,31833
3120607,31861
2110906,31888
3130655,31895
4215554,31905
3119005,31907
2921609,31929
4310751,31949
3134301,31956
4302378,32037
2802205,32037
3542305,32048
2510006,32069
4200754,32077
5205703,32079
4214102,32089
2205607,32096
2201606,32100
3150570,32124
4319752,32137
1701101,32140
5211602,32148
4114351,32165
5201603,32185
2406304,32205
2927804,32212
5203104,32213
2910305,32228
3103207,32232
2313252,32250
2701357,32257
2503803,32262
2413508,32263
2109304,32278
2928307,32280
2410900,32285
3153707,32294
3543501,32333
3115003,32333
4210050,32335
3108503,32339
2922730,32347
3168309,32463
3201803,32477
2111904,32482
3536901,32494
4321493,32495
3105707,32527
2204204,32539
5100102,32558
1302108,32589
4118303,32611
4115739,32625
1600253,32632
2911303,32656
4210852,32661
3128501,32662
3144359,32676
4205555,32682
2505238,32690
3534500,32717
1718840,32763
2104073,32776
2307908,32795
4218954,32839
3129400,32863
3114600,32866
2202083,32872
2109403,32877
3130556,32934
3150901,32940
3554201,32943
1715705,32943
2100154,32945
3124401,32955
4319356,33053
3135902,33063
3125606,33087
2900900,33088
2107001,33158
1710706,33168
5221908,33174
2504157,33188
2918902,33220
5214101,33231
2504355,33246
4122107,33270
3514957,33342
5200829,33359
2906105,33422
3163508,33450
5204953,33464
3145877,33491
2927101,33518
4318051,33588
3513306,33624
2105807,33639
2804706,33648
1708304,33663
2513208,33674
3135076,33690
1506401,33698
2203404,33709
2921450,33741
5202809,33763
4312955,33781
5202601,33787
3154507,33829
2606309,33837
2924900,33865
2202406,33880
4103156,33893
4312351,33903
1707553,33906
2507804,33930
2921054,33934
3108255,33978
2206100,33994
4117214,34019
2504504,34085
3507159,34087
4116406,34115
2103158,34139
2111748,34140
5221007,34192
2509339,34193
2900504,34198
4305587,34201
1501253,34214
1712504,34235
2403400,34241
3165503,34253
3160603,34308
3170578,34327
5213772,34340
3165578,34350
2505006,34379
3143807,34382
2202505,34401
4320578,34428
1504109,34470
2204808,34505
4322855,34526
5208301,34551
2900108,34564
4310652,34598
3115458,34616
3135308,34617
4323606,34646
3166303,34653
2503605,34655
4210209,34688
4103404,34697
3155900,34731
3126505,34737
4309571,34769
2501575,34782
4124301,34816
1701309,34843
5107750,34874
1506104,34878
1507961,34897
2203230,34897
3160801,34907
4317954,34997
4306130,35044
2301257,35047
2514206,35063
2500775,35072
1101476,35105
2108405,35129
4316733,35137
1716653,35157
2506251,35178
1501758,35203
4315149,35205
2104651,35208
5219456,35288
4219853,35327
1718303,35356
3138906,35378
2914109,35397
2105948,35398
3555208,35404
2803708,35419
2204659,35420
2928950,35442
4215901,35464
2513604,35464
5215256,35468
2906899,35476
3159308,35481
2928505,35571
2606705,35655
4300661,35657
3141900,35677
2505402,35681
2106359,35697
4307450,35742
4312443,35750
4314456,35759
2104909,35762
5106190,35765
4304697,35820
1200435,35855
2512804,35865
4204152,35887
2310951,35917
2304269,35968
3107703,35971
4317558,35972
2100873,35983
3122900,35993
2508208,36015
1505494,36046
5208103,36067
2701506,36075
4300570,36097
2509057,36151
4113429,36161
3142254,36186
2201101,36300
2901957,36327
2610103,36328
3111705,36360
2105922,36407
4200051,36435
5215900,36486
2705804,36511
2300101,36542
2933109,36549
1720499,36556
4101853,36564
2405009,36581
1720978,36606
4323705,36629
2305654,36632
4120309,36646
2923035,36662
3515301,36679
3500808,36694
2901809,36709
2410207,36710
2406601,36719
2923506,36747
2911501,36750
4128625,36765
2208502,36783
2905156,36802
4123956,36803
2903102,36819
3105301,36834
3141504,36865
4205159,36868
4306700,36876
5209804,36887
1300060,36940
3515129,36963
2515807,36970
2507408,36982
5205208,36990
3121308,36998
2300507,37014
4310702,37035
5103957,37055
2413409,37068
1701903,37093
3129608,37098
3143609,37122
1600550,37125
4101051,37129
5200902,37134
2700904,37166
1716307,37199
1702158,37212
3552007,37239
3146404,37241
4110656,37316
3157252,37368
2502706,37373
4100459,37391
2616100,37419
2612109,37426
4123105,37444
2409704,37458
3527801,37475
4115507,37557
1600055,37563
2706422,37586
2911659,37654
2311009,37660
2407302,37734
4318499,37786
2612802,37797
1703206,37847
2305100,37854
2109551,37881
4103479,37928
2411056,37935
3164431,37939
3141207,37954
5212709,37957
2304905,37999
2902302,38000
4122651,38071
3162450,38073
3541109,38091
1703107,38099
2706109,38128
4122172,38139
2904506,38167
3120870,38169
3516507,38180
5203609,38186
3516804,38208
5106208,38250
2702504,38291
5210562,38353
4115457,38354
3146701,38381
3102050,38390
3512605,38423
2924702,38436
3115706,38445
1706001,38466
2310001,38507
3121407,38513
3507456,38515
3110103,38519
4308433,38520
4321634,38522
4319711,38530
3158805,38551
2920452,38563
2927903,38564
2704609,38619
2916708,38625
2100832,38629
4302584,38632
2102150,38643
5219357,38686
2615201,38700
2918555,38737
5206503,38784
4125456,38787
2615904,38870
4310876,38898
4126652,38920
4101655,38931
4321329,38974
3101805,39024
2515401,39042
3117009,39108
5215207,39118
2107456,39151
2922656,39160
4313086,39163
4201653,39178
2802700,39220
2106003,39255
4110052,39311
4314175,39314
3123809,39323
3148756,39328
3540259,39344
4323507,39384
4111704,39389
2515971,39397
4106555,39415
5219605,39420
3171071,39435
3134103,39452
5203575,39475
2903300,39487
3527702,39491
1600212,39502
2405306,39557
3135001,39642
2924678,39733
4309159,39745
4315552,39770
3520608,39775
3538303,39778
2403509,39792
3144656,39812
2412807,39869
4311122,39914
1100908,39936
1706506,39958
4205191,39959
3138708,40033
3127305,40059
3526308,40067
4311981,40071
4113254,40099
2500106,40110
2509008,40114
1718402,40119
3531704,40125
2108058,40156
3148202,40174
5106653,40229
3165552,40246
2203107,40256
3555505,40283
4117206,40305
3130051,40316
4322525,40318
2404853,40412
2511608,40436
4112900,40461
2403806,40485
2203305,40502
2919058,40503
4311270,40527
2407401,40541
4101150,40541
5100359,40553
2923050,40597
2701902,40622
2806404,40625
3107208,40641
2105963,40643
3103702,40660
2933406,40668
2604304,40677
3502408,40677
2508000,40726
3136603,40734
2208106,40749
2105203,40758
3116803,40787
4307864,40801
3515905,40867
3144409,40890
3514924,40937
3162609,40940
2205003,40950
3149150,40951
3533254,41072
3111903,41113
3159506,41114
4202875,41162
4201109,41181
2516409,41183
2101772,41185
2708956,41213
1200328,41233
2514909,41262
3547106,41267
3160900,41269
3120706,41280
4323754,41305
4217253,41325
2106805,41327
3120409,41386
3543600,41410
2112852,41432
2207603,41432
4322152,41433
3145356,41443
3163805,41455
5103809,41462
2517001,41516
2501401,41547
3121803,41651
4106100,41669
5101001,41693
2924652,41777
2401701,41785
3135605,41793
2401305,41811
5206305,41853
4111605,41864
1717909,41894
1100262,41934
2701209,41937
2509909,41947
2516805,42001
1200054,42017
5103437,42021
2915403,42023
3536802,42053
2509800,42074
3122454,42083
1502608,42094
4128807,42122
4102752,42132
2706000,42145
2205409,42169
3148509,42179
2515906,42196
2106631,42199
4306551,42202
4116604,42206
3108107,42287
4116307,42305
3109808,42321
3119500,42341
3104809,42408
1718907,42419
4313490,42423
2612471,42446
4115903,42447
2922052,42497
2511103,42528
1505551,42532
2907707,42551
2402105,42555
1303957,42612
2925709,42656
2106375,42660
3548401,42669
2410306,42736
3528908,42736
2904803,42766
2305332,42790
2915908,42811
3136504,42849
4121307,42858
4322327,42962
1301951,42984
1506112,43000
3165701,43002
4203253,43105
4320321,43133
4323358,43271
3157336,43274
4113809,43303
3540101,43335
2912004,43336
3101631,43379
2101301,43404
2931400,43430
2410405,43458
4103958,43473
2919603,43522
3525854,43549
2203206,43615
4113759,43656
2910008,43669
2707206,43694
4318440,43725
4119657,43739
2904209,43743
5102694,43745
4312674,43769
1720804,43776
4302253,43793
1101468,43812
4102703,43829
4114708,43836
3532108,43859
2914307,43903
2311207,43903
2305266,43905
2905107,43918
2110856,43952
2412906,43973
3119807,43984
3527900,44019
2303931,44038
2802601,44062
4211892,44087
2109205,44091
3150158,44215
2506707,44246
4306320,44273
3518909,44346
3151909,44353
2926905,44363
3128204,44385
2929370,44401
4103024,44408
4321626,44431
4110904,44444
2912509,44456
2606903,44467
5220686,44482
4315958,44484
3523701,44491
1713809,44503
2902203,44525
2902658,44561
2805208,44581
4305132,44612
4119707,44685
2918753,44707
3155306,44726
4313391,44736
3530904,44751
3131406,44768
2929800,44777
3102852,44823
2921807,44834
2511806,44861
5004809,44884
2702009,44893
4314498,44922
3116506,44926
2303659,44941
2414100,44942
1707405,44965
5206602,44967
2102358,44969
2922755,44998
4211850,45047
2111003,45051
2933174,45057
3142403,45122
4124004,45130
3138005,45132
5201454,45136
4215356,45179
5108808,45253
4310553,45253
2703502,45266
4312054,45269
1703057,45296
4113106,45320
2407005,45342
4120150,45444
2505709,45465
2111078,45479
2511509,45587
4211652,45609
2903235,45613
3525409,45614
2407708,45628
4200556,45649
4309753,45653
3153004,45657
2104305,45674
1718451,45686
1720200,45731
2412559,45880
1503408,45885
2200301,45903
5215652,45915
3157104,45935
2703601,45970
2930006,46010
2403004,46088
4323101,46111
2207504,46125
3535903,46127
4305871,46137
2904001,46155
4320859,46204
3166204,46222
2601805,46226
4202438,46247
2413201,46310
3156601,46334
2308377,46416
3112109,46432
4212601,46449
3532306,46471
4306973,46475
5210604,46484
3138500,46487
2916609,46491
2708709,46505
2920809,46525
2513109,46565
1707207,46594
4312427,46598
4314134,46620
4300455,46637
4202537,46692
2707909,46699
2904407,46726
5107206,46747
4323457,46747
5108204,46756
1700350,46763
2402402,46771
2916203,46787
2805109,46812
2102077,46839
5107776,46853
1720655,46899
5220157,46929
2111532,46990
3138674,47008
4320354,47026
3122405,47038
5213509,47084
4305371,47095
4106852,47114
3101201,47132
2603926,47154
3145455,47183
3522000,47220
2313906,47275
3148301,47333
2601003,47341
3169802,47352
3170008,47358
4215075,47390
3149952,47411
5216007,47430
2515104,47435
2933059,47449
3154150,47484
2105476,47530
4302600,47539
2930907,47635
4100905,47639
3112901,47658
2310407,47722
3129301,47737
3539707,47769
2308203,47778
2400307,47835
4301552,47837
2110401,47841
2608255,47854
2313559,47858
4109203,47887
2303907,47895
4304713,47901
2905503,47913
4217105,47951
4315313,47980
2510105,48015
2707404,48016
2930600,48022
5203559,48138
2911006,48192
