CodMunIBGE,Habitantes 2010
4211256,2890
1718881,2894
2409209,2895
4215687,2896
3104403,2901
4202081,2906
5219506,2909
1720259,2910
4218855,2910
3101409,2913
4321832,2914
4300570,2917
1717206,2920
4318051,2926
2510600,2928
5003900,2928
2802502,2929
5206305,2932
2506202,2933
5221577,2933
3537156,2940
5216452,2950
5108857,2951
4321493,2952
4309571,2954
2807303,2957
3153301,2959
2205359,2960
3127354,2962
5206602,2964
4305116,2965
4321329,2966
3140407,2968
4306973,2970
3116902,2972
2805000,2974
2411601,2975
2515708,2975
2210391,2976
2400406,2980
3119609,2983
2211506,2986
4110300,2988
4212601,2988
4312617,2988
3135001,2990
4219853,2991
5107263,2991
3122801,2994
3501509,3000
5212006,3000
3515905,3003
4311734,3003
4304952,3007
4215901,3008
4111605,3010
4320230,3011
3121506,3015
5221080,3016
4205175,3018
3515129,3020
4310363,3023
5106174,3029
3125804,3030
3551306,3031
2503753,3033
4323200,3036
2200806,3039
5108352,3052
3127370,3053
3145802,3055
3125507,3056
2410603,3063
4306379,3064
3533205,3068
2209609,3069
5221809,3074
2502052,3075
2211605,3076
4306957,3080
2208601,3085
4307054,3088
4301859,3089
4312377,3102
4304655,3104
3505005,3116
3514924,3120
1703057,3122
3120003,3127
4114351,3127
5103957,3135
3168051,3137
5219209,3142
4213005,3147
1713957,3152
1712801,3154
3110400,3154
3144201,3154
2506509,3159
3525409,3160
4106852,3162
2410702,3165
3149507,3165
4307401,3168
2516151,3169
5219456,3173
1701051,3175
4312443,3182
4312757,3182
4313003,3184
4306320,3190
3539707,3192
5101001,3197
3528304,3200
4319125,3201
2515609,3204
3138302,3205
4128625,3206
4323309,3207
4103370,3209
4217105,3209
4201109,3214
3159704,3224
3522158,3228
5203609,3232
2514602,3233
2201309,3234
4308656,3234
2515203,3235
3170479,3235
3541653,3236
3160603,3238
5218391,3239
3522000,3246
4303673,3247
4322525,3253
2206951,3260
3153004,3265
2512747,3266
3530904,3266
4307450,3272
5208152,3275
1705102,3277
5202353,3277
4306452,3278
4210209,3279
3144375,3280
2201572,3284
4217550,3285
3113107,3288
4202438,3290
4318622,3290
5206701,3292
3121902,3293
4103222,3293
4201802,3300
3119708,3301
3153707,3303
4213351,3303
2401909,3308
5218789,3312
4319356,3315
1100262,3316
2505907,3317
5207501,3320
5203962,3321
5204557,3325
1718840,3326
3126950,3329
4122107,3334
4108551,3337
3114709,3341
2202075,3343
4313359,3343
5218052,3347
3542800,3358
2207355,3363
2513984,3364
3148806,3365
4209805,3365
2414456,3368
3171501,3370
5215652,3371
4206801,3373
3125309,3376
4117404,3380
3129905,3382
3161056,3382
3552551,3383
5103361,3385
4203154,3387
5204607,3387
3119807,3391
2806909,3393
4126652,3394
3143708,3399
2411809,3401
4306700,3401
3106101,3403
5108105,3418
1501253,3431
4112900,3433
4120333,3434
5200829,3434
3119005,3435
4216354,3435
3543600,3436
3533304,3441
4310553,3441
3141306,3444
1702703,3446
3137908,3452
5221452,3452
2410009,3453
2803807,3456
4202859,3457
3115409,3462
5106190,3468
4305371,3471
5214903,3471
4107553,3472
4205605,3472
4116604,3478
3540101,3481
3171105,3483
4323754,3485
3161650,3486
3149200,3490
4304101,3494
3166105,3497
4201604,3502
5203575,3503
1711506,3507
2513000,3508
4107124,3510
4314035,3511
2505501,3512
3160900,3513
3124708,3516
5007976,3518
5215207,3519
2409506,3521
2501351,3522
4322327,3522
5205521,3523
1101476,3524
1711951,3525
4218350,3527
1710904,3532
4219101,3532
2407252,3536
3538303,3537
3160009,3538
2513356,3539
5221007,3541
3102407,3546
4305603,3550
5206503,3555
2503407,3557
3500204,3557
5215900,3557
2210623,3560
4101655,3561
3110806,3564
3507159,3571
4123956,3571
5209606,3571
1100908,3575
4311130,3575
4204178,3581
2406155,3582
3159407,3583
4111308,3583
5107297,3592
2411106,3595
3156403,3596
4219408,3600
4205159,3604
5107578,3604
5200902,3609
4315552,3616
3158409,3622
3551207,3622
