date,IDHM 2010,CodMunIBGE
2010-01-01,0.592,1503903
2010-01-01,0.541,1504000
2010-01-01,0.599,1504059
2010-01-01,0.597,1504109
2010-01-01,0.668,1504208
2010-01-01,0.57,1504307
2010-01-01,0.609,1504406
2010-01-01,0.676,1504422
2010-01-01,0.582,1504455
2010-01-01,0.418,1504505
2010-01-01,0.575,1504604
2010-01-01,0.547,1504703
2010-01-01,0.589,1504802
2010-01-01,0.547,1504901
2010-01-01,0.502,1504950
2010-01-01,0.581,1504976
2010-01-01,0.609,1505007
2010-01-01,0.673,1505031
2010-01-01,0.537,1505064
2010-01-01,0.594,1505106
2010-01-01,0.507,1505205
2010-01-01,0.623,1505304
2010-01-01,0.568,1505403
2010-01-01,0.624,1505437
2010-01-01,0.515,1505486
2010-01-01,0.589,1505494
2010-01-01,0.645,1505502
2010-01-01,0.715,1505536
2010-01-01,0.574,1505551
2010-01-01,0.581,1505601
2010-01-01,0.563,1505635
2010-01-01,0.552,1505650
2010-01-01,0.562,1505700
2010-01-01,0.483,1505809
2010-01-01,0.503,1505908
2010-01-01,0.523,1506005
2010-01-01,0.577,1506104
2010-01-01,0.543,1506112
2010-01-01,0.672,1506138
2010-01-01,0.638,1506161
2010-01-01,0.602,1506187
2010-01-01,0.548,1506195
2010-01-01,0.647,1506203
2010-01-01,0.608,1506302
2010-01-01,0.627,1506351
2010-01-01,0.557,1506401
2010-01-01,0.659,1506500
2010-01-01,0.546,1506559
2010-01-01,0.544,1506583
2010-01-01,0.598,1506609
2010-01-01,0.602,1506708
2010-01-01,0.691,1506807
2010-01-01,0.587,1506906
2010-01-01,0.632,1507003
2010-01-01,0.585,1507102
2010-01-01,0.594,1507151
2010-01-01,0.532,1507201
2010-01-01,0.594,1507300
2010-01-01,0.608,1507409
2010-01-01,0.595,1507458
2010-01-01,0.583,1507466
2010-01-01,0.539,1507474
2010-01-01,0.55,1507508
2010-01-01,0.591,1507607
2010-01-01,0.558,1507706
2010-01-01,0.59,1507755
2010-01-01,0.514,1507805
2010-01-01,0.615,1507904
2010-01-01,0.588,1507953
2010-01-01,0.605,1507961
2010-01-01,0.635,1507979
2010-01-01,0.586,1508001
2010-01-01,0.531,1508035
2010-01-01,0.562,1508050
2010-01-01,0.659,1508084
2010-01-01,0.666,1508100
2010-01-01,0.604,1508126
2010-01-01,0.589,1508159
2010-01-01,0.617,1508209
2010-01-01,0.515,1508308
2010-01-01,0.596,1508357
2010-01-01,0.646,1508407
2010-01-01,0.709,1600055
2010-01-01,0.642,1600105
2010-01-01,0.626,1600154
2010-01-01,0.643,1600204
2010-01-01,0.628,1600212
2010-01-01,0.656,1600238
2010-01-01,0.576,1600253
2010-01-01,0.665,1600279
2010-01-01,0.733,1600303
2010-01-01,0.592,1600402
2010-01-01,0.658,1600501
2010-01-01,0.64,1600535
2010-01-01,0.614,1600550
2010-01-01,0.692,1600600
2010-01-01,0.592,1600709
2010-01-01,0.619,1600808
2010-01-01,0.665,1700251
2010-01-01,0.657,1700301
2010-01-01,0.663,1700350
2010-01-01,0.636,1700400
2010-01-01,0.708,1700707
2010-01-01,0.671,1701002
2010-01-01,0.648,1701051
2010-01-01,0.651,1701101
2010-01-01,0.593,1701309
2010-01-01,0.639,1701903
2010-01-01,0.675,1702000
2010-01-01,0.752,1702109
2010-01-01,0.604,1702158
2010-01-01,0.631,1702208
2010-01-01,0.68,1702307
2010-01-01,0.651,1702406
2010-01-01,0.67,1702554
2010-01-01,0.677,1702703
2010-01-01,0.627,1702901
2010-01-01,0.642,1703008
2010-01-01,0.638,1703057
2010-01-01,0.603,1703073
2010-01-01,0.642,1703107
2010-01-01,0.638,1703206
2010-01-01,0.66,1703305
2010-01-01,0.684,1703602
2010-01-01,0.686,1703701
2010-01-01,0.627,1703800
2010-01-01,0.627,1703826
2010-01-01,0.544,1703842
2010-01-01,0.662,1703867
2010-01-01,0.64,1703883
2010-01-01,0.594,1703891
2010-01-01,0.658,1703909
2010-01-01,0.569,1704105
2010-01-01,0.619,1704600
2010-01-01,0.62,1705102
2010-01-01,0.701,1705508
2010-01-01,0.697,1705557
2010-01-01,0.592,1705607
2010-01-01,0.605,1706001
2010-01-01,0.673,1706100
2010-01-01,0.644,1706258
2010-01-01,0.581,1706506
2010-01-01,0.701,1707009
2010-01-01,0.683,1707108
2010-01-01,0.583,1707207
2010-01-01,0.679,1707306
2010-01-01,0.57,1707405
2010-01-01,0.697,1707553
2010-01-01,0.689,1707652
2010-01-01,0.621,1707702
2010-01-01,0.67,1708205
2010-01-01,0.659,1708254
2010-01-01,0.621,1708304
2010-01-01,0.576,1709005
2010-01-01,0.741,1709302
2010-01-01,0.759,1709500
2010-01-01,0.62,1709807
2010-01-01,0.612,1710508
2010-01-01,0.616,1710706
2010-01-01,0.601,1710904
2010-01-01,0.65,1711100
2010-01-01,0.662,1711506
2010-01-01,0.584,1711803
2010-01-01,0.627,1711902
2010-01-01,0.579,1711951
2010-01-01,0.675,1712009
2010-01-01,0.66,1712157
2010-01-01,0.57,1712405
2010-01-01,0.639,1712454
2010-01-01,0.631,1712504
2010-01-01,0.607,1712702
2010-01-01,0.58,1712801
2010-01-01,0.684,1713205
2010-01-01,0.662,1713304
2010-01-01,0.622,1713601
2010-01-01,0.62,1713700
2010-01-01,0.628,1713809
2010-01-01,0.596,1713957
2010-01-01,0.673,1714203
2010-01-01,0.643,1714302
2010-01-01,0.631,1714880
2010-01-01,0.661,1715002
2010-01-01,0.639,1715101
2010-01-01,0.699,1715150
2010-01-01,0.596,1715259
2010-01-01,0.675,1715507
2010-01-01,0.571,1715705
2010-01-01,0.673,1715754
2010-01-01,0.764,1716109
2010-01-01,0.595,1716208
2010-01-01,0.661,1716307
2010-01-01,0.732,1716505
2010-01-01,0.674,1716604
2010-01-01,0.627,1716653
2010-01-01,0.671,1716703
2010-01-01,0.605,1717008
2010-01-01,0.621,1717206
2010-01-01,0.65,1717503
2010-01-01,0.603,1717800
2010-01-01,0.624,1717909
2010-01-01,0.645,1718006
2010-01-01,0.74,1718204
2010-01-01,0.583,1718303
2010-01-01,0.669,1718402
2010-01-01,0.669,1718451
2010-01-01,0.5,1718501
2010-01-01,0.572,1718550
2010-01-01,0.608,1718659
2010-01-01,0.616,1718709
2010-01-01,0.6,1718758
2010-01-01,0.606,1718808
2010-01-01,0.659,1718840
2010-01-01,0.616,1718865
2010-01-01,0.634,1718881
2010-01-01,0.651,1718899
2010-01-01,0.595,1718907
2010-01-01,0.662,1719004
2010-01-01,0.637,1720002
2010-01-01,0.605,1720101
2010-01-01,0.574,1720150
2010-01-01,0.623,1720200
2010-01-01,0.605,1720259
2010-01-01,0.573,1720309
2010-01-01,0.643,1720499
2010-01-01,0.675,1720655
2010-01-01,0.604,1720804
2010-01-01,0.667,1720853
2010-01-01,0.634,1720903
2010-01-01,0.601,1720937
2010-01-01,0.654,1720978
2010-01-01,0.788,1721000
2010-01-01,0.589,1721109
2010-01-01,0.681,1721208
2010-01-01,0.67,1721257
2010-01-01,0.587,1721307
2010-01-01,0.638,1722081
2010-01-01,0.671,1722107
2010-01-01,0.672,2100055
2010-01-01,0.529,2100105
2010-01-01,0.5,2100154
2010-01-01,0.573,2100204
2010-01-01,0.513,2100303
2010-01-01,0.549,2100402
2010-01-01,0.554,2100436
2010-01-01,0.558,2100477
2010-01-01,0.633,2100501
2010-01-01,0.52,2100550
2010-01-01,0.555,2100600
2010-01-01,0.581,2100709
2010-01-01,0.581,2100808
2010-01-01,0.568,2100832
2010-01-01,0.533,2100873
2010-01-01,0.521,2100907
2010-01-01,0.512,2100956
2010-01-01,0.626,2101004
2010-01-01,0.641,2101103
2010-01-01,0.651,2101202
2010-01-01,0.629,2101251
2010-01-01,0.578,2101301
2010-01-01,0.537,2101350
2010-01-01,0.687,2101400
2010-01-01,0.592,2101509
2010-01-01,0.606,2101608
2010-01-01,0.57,2101707
2010-01-01,0.512,2101731
2010-01-01,0.554,2101772
2010-01-01,0.546,2101806
2010-01-01,0.601,2101905
2010-01-01,0.604,2101939
2010-01-01,0.545,2101970
2010-01-01,0.538,2102002
2010-01-01,0.558,2102036
2010-01-01,0.562,2102077
2010-01-01,0.562,2102101
2010-01-01,0.519,2102150
2010-01-01,0.548,2102200
2010-01-01,0.59,2102309
2010-01-01,0.556,2102325
2010-01-01,0.583,2102358
2010-01-01,0.537,2102374
2010-01-01,0.553,2102408
2010-01-01,0.523,2102507
2010-01-01,0.652,2102556
2010-01-01,0.561,2102606
2010-01-01,0.565,2102705
2010-01-01,0.537,2102754
2010-01-01,0.634,2102804
2010-01-01,0.574,2102903
2010-01-01,0.624,2103000
2010-01-01,0.605,2103109
2010-01-01,0.585,2103125
2010-01-01,0.542,2103158
2010-01-01,0.518,2103174
2010-01-01,0.604,2103208
2010-01-01,0.6,2103257
2010-01-01,0.595,2103307
2010-01-01,0.564,2103406
2010-01-01,0.596,2103505
2010-01-01,0.512,2103554
2010-01-01,0.576,2103604
2010-01-01,0.612,2103703
2010-01-01,0.607,2103752
2010-01-01,0.622,2103802
2010-01-01,0.533,2103901
2010-01-01,0.586,2104008
2010-01-01,0.659,2104057
2010-01-01,0.532,2104073
2010-01-01,0.443,2104081
2010-01-01,0.556,2104099
2010-01-01,0.616,2104107
2010-01-01,0.58,2104206
2010-01-01,0.604,2104305
2010-01-01,0.568,2104404
2010-01-01,0.565,2104503
2010-01-01,0.629,2104552
2010-01-01,0.572,2104602
2010-01-01,0.544,2104628
2010-01-01,0.521,2104651
2010-01-01,0.569,2104677
2010-01-01,0.57,2104701
2010-01-01,0.609,2104800
2010-01-01,0.625,2104909
2010-01-01,0.535,2105005
2010-01-01,0.546,2105104
2010-01-01,0.569,2105153
2010-01-01,0.614,2105203
2010-01-01,0.731,2105302
2010-01-01,0.518,2105351
2010-01-01,0.599,2105401
2010-01-01,0.63,2105427
2010-01-01,0.561,2105450
2010-01-01,0.49,2105476
2010-01-01,0.641,2105500
2010-01-01,0.561,2105609
2010-01-01,0.552,2105658
2010-01-01,0.589,2105708
2010-01-01,0.581,2105807
2010-01-01,0.557,2105906
2010-01-01,0.566,2105922
2010-01-01,0.602,2105948
2010-01-01,0.502,2105963
2010-01-01,0.589,2105989
2010-01-01,0.581,2106003
2010-01-01,0.582,2106102
2010-01-01,0.588,2106201
2010-01-01,0.567,2106300
2010-01-01,0.582,2106326
2010-01-01,0.452,2106359
2010-01-01,0.55,2106375
2010-01-01,0.57,2106409
2010-01-01,0.619,2106508
2010-01-01,0.55,2106607
2010-01-01,0.533,2106631
2010-01-01,0.527,2106672
