CodMunIBGE,Receitas Correntes 2010 (R$)
4302378,7586770.04
2502201,7589297.44
3126950,7591223.49
2508554,7591811.57
1703057,7594083.09
2503407,7595457.51
1707306,7599422.45
2503753,7601964.89
5219456,7602804.0
4302055,7603951.98
4211876,7621278.19
2209658,7623801.97
1718907,7635926.4
3114808,7637872.94
5212253,7638791.64
3115904,7642631.13
3119708,7643777.63
1718840,7644020.81
4322343,7645073.4
2200277,7651570.17
4316733,7651761.47
4204756,7653011.45
2501351,7654318.23
3143708,7655015.67
2510501,7655308.68
5207105,7656149.42
2210201,7664855.45
4215059,7666262.08
4124202,7666758.43
3127370,7667265.78
2414308,7667431.87
4103156,7674782.1
5219506,7676606.9
3153301,7679865.2
5203939,7682051.58
3161056,7683457.32
5210158,7684453.94
3119005,7684730.59
3127388,7689925.53
3161601,7694693.53
3546256,7696280.93
2203404,7696299.19
3121902,7697420.18
4308052,7697591.01
4318432,7699686.74
3165602,7707578.95
3155207,7710461.32
4113106,7716288.82
2207751,7717720.82
2409209,7719299.39
4101853,7721181.58
3170305,7723845.84
4112603,7734165.28
5200902,7735978.78
2511004,7738675.04
3160603,7742302.6
2502300,7747665.28
4308250,7749690.09
5214705,7751252.41
4317954,7753170.86
2202133,7754032.89
5212055,7754186.38
5106455,7761614.74
3156106,7762963.0
3150109,7766364.73
1701309,7769789.6
3125804,7772521.59
2500577,7774359.71
2200459,7776088.4
2517209,7776498.8
1715705,7778889.45
5206800,7787177.46
5107198,7791358.0
2210623,7792926.08
2415008,7793057.34
2205516,7795939.96
4215604,7797869.38
3533106,7798346.59
5206503,7803645.66
5209606,7809883.91
3109253,7816143.78
4215687,7816480.82
2508703,7823877.09
2504207,7825770.29
2406403,7826289.83
4110656,7826470.18
3156205,7835660.74
4128302,7837637.02
3150000,7843304.07
3143153,7846069.48
2400406,7847061.16
2406304,7849223.56
4109104,7849449.04
3133907,7849696.88
4100459,7852055.65
3544707,7852406.3
2504074,7855854.85
3161650,7855948.49
1718709,7857824.02
2407252,7859170.16
2201408,7863309.67
3165560,7865150.24
4314134,7866364.68
5107297,7868439.22
4305835,7869597.66
4214102,7870942.52
4101150,7871641.54
5221452,7882884.19
2207777,7883669.31
5202809,7885888.18
4318457,7886353.53
3507753,7887107.89
4215752,7889197.8
3144201,7889661.37
2202539,7890719.57
4204459,7891381.9
1720259,7892859.67
2508406,7896299.53
1707553,7896688.1
2200251,7902749.71
3123502,7904764.93
5216908,7905457.62
3140209,7908574.46
2203271,7913150.58
3138302,7913718.13
3164902,7918756.2
5221577,7926560.81
3103603,7930285.67
4214151,7930564.54
1718550,7932308.46
2401859,7932675.51
3125309,7936232.02
4309126,7939282.86
2205458,7939565.06
3136520,7940679.22
2508802,7948966.35
2202174,7949013.88
4306353,7951508.0
4319737,7952303.28
4125456,7956561.37
4210704,7958520.96
2202109,7961632.97
2515708,7968447.93
4314753,7969540.25
4209458,7972058.55
2401909,7972716.82
2206654,7973537.1
4209177,7975104.53
4205191,7979484.81
3104403,7985746.0
4111308,7990422.26
3121704,7992637.67
2411700,7993839.08
5108105,8000782.61
2509339,8015691.29
4219150,8022923.64
3555703,8024983.72
4315149,8028420.93
3540853,8028654.46
5212006,8029276.12
2202729,8032100.33
2205904,8033088.83
3555901,8035238.32
5107263,8035908.97
3144375,8045667.35
5201603,8045804.17
3159704,8046543.96
4310751,8053154.56
1718758,8058490.53
2406809,8066814.54
4305116,8067995.32
3123304,8071034.32
4122107,8071141.26
1100262,8076031.32
2205276,8076789.6
3529104,8077169.15
4322350,8079441.43
3554755,8081384.52
4306130,8085063.21
2503803,8088754.23
2206704,8093783.02
3100401,8094803.88
2502052,8096251.47
2206050,8096645.18
4112900,8096801.9
3167905,8097522.87
2912608,8097626.14
5208103,8099703.4
1706100,8104133.07
2200905,8106217.13
3112059,8108598.03
3154705,8108639.22
2512754,8112901.73
1400282,8124349.53
2205151,8125021.61
3514957,8126907.14
2206506,8128641.72
5215207,8132194.13
3120003,8133219.53
2401503,8137955.71
4302584,8138435.41
3136801,8139671.55
2506608,8140274.42
5211602,8146236.88
2410009,8149300.54
1707207,8153354.99
5103957,8154039.38
1702158,8154968.36
3163300,8155277.24
4215901,8155332.95
5209804,8158772.76
3149002,8158792.71
2501534,8160497.89
2206902,8166682.98
2200053,8168031.3
3170602,8172733.24
4312351,8173016.03
3169059,8181128.91
3158409,8182060.01
5218391,8183957.95
4123105,8184163.65
2513802,8185956.51
4103370,8188551.88
3150901,8191927.79
2205532,8192345.75
3119609,8197845.31
2504702,8199120.0
1706001,8206740.31
4318499,8207362.74
2203354,8207847.3
4217105,8208281.61
2510303,8209151.06
3112208,8210583.26
2803807,8212152.75
1711506,8214109.82
3107000,8214339.54
2514404,8216141.6
3149507,8220825.98
3500808,8223270.66
3125002,8226148.41
3160009,8227651.74
5204607,8230346.8
4312674,8232441.04
4315172,8232630.13
3166501,8233803.2
2505808,8235275.21
2918704,8235962.98
3150307,8237289.37
4306759,8239473.21
4215554,8242834.4
5209408,8246597.86
4313441,8247200.86
2408607,8249586.19
2101939,8249930.31
3157336,8253284.55
3103801,8254202.94
4202081,8256028.04
4321329,8256088.53
3104452,8258865.75
3118106,8261047.96
3163003,8264348.35
4210050,8265232.88
5106273,8268407.01
4321493,8270124.98
2802502,8270403.76
5204557,8273501.36
4101051,8273840.17
4322855,8278884.75
2411601,8281667.78
3158805,8281960.27
4117297,8285542.42
5221007,8286941.31
1700400,8290029.11
5221908,8290825.96
3518008,8292021.0
2412104,8292977.29
3145802,8293676.51
4118303,8301609.6
3513850,8302433.29
3126406,8305976.81
3136603,8308159.65
4122909,8308261.64
4312179,8316726.64
4120333,8318513.64
3549300,8319942.61
2209906,8321212.82
4217758,8322381.57
2202653,8329991.79
4202875,8331704.65
2414704,8332153.84
4320651,8334626.88
4205431,8338973.89
2514453,8338987.27
2514107,8340231.7
4205159,8341740.25
3134301,8345995.96
3120102,8350145.88
2413805,8353598.22
3548302,8354133.15
