CodMunIBGE,Habitantes 2010
315500,2468
312460,2470
312460,2470
312460,2470
3124609,2470
4312138,2470
1720002,2474
4205555,2474
5200159,2477
520710,2479
520710,2479
4308433,2479
5207105,2479
421895,2482
2203859,2482
4218954,2482
520015,2483
4315149,2484
4311429,2487
4125902,2491
5107768,2491
3503158,2493
412590,2494
412590,2494
251710,2504
251710,2504
2517100,2504
250530,2505
250530,2505
2505303,2505
3109808,2505
310980,2506
310980,2506
4310876,2507
4210852,2513
4314456,2513
431445,2515
3540309,2518
354030,2523
354030,2523
1719004,2523
241142,2526
241142,2526
2411429,2526
4202537,2526
4311791,2527
4120200,2530
412020,2531
412020,2531
314550,2533
314550,2533
3145505,2533
316750,2537
316750,2537
3167509,2537
3534500,2537
353450,2539
353450,2539
353450,2539
410810,2540
410810,2540
4315057,2542
354740,2543
354740,2543
3547403,2543
4108106,2543
4315958,2546
4306551,2550
317220,2553
317220,2553
3172202,2553
3536901,2558
2208551,2559
5203939,2560
353690,2561
353690,2561
2210375,2561
1720978,2562
354920,2566
354920,2566
1704105,2566
3549201,2566
430805,2567
4308052,2567
1718709,2570
5107156,2572
3507753,2573
510715,2578
4110656,2578
430786,2579
4307864,2579
240960,2583
240960,2583
4310652,2584
2409605,2590
430355,2591
316360,2592
316360,2592
3163607,2592
4303558,2592
4316428,2595
240590,2601
240590,2601
2405900,2601
4205431,2601
240550,2607
240550,2607
2405504,2607
290740,2609
290740,2609
2907400,2612
2513653,2615
2210979,2620
1712454,2622
4119251,2625
2207108,2626
351090,2627
351090,2627
351090,2627
260545,2629
260545,2629
260545,2629
260545,2629
520570,2629
260545,2629
520570,2629
260545,2629
520570,2629
3130804,2629
26019,2630
2605459,2630
3107000,2630
5205703,2632
3528858,2633
310700,2634
310700,2634
3510906,2634
4202156,2635
4318432,2635
313080,2636
313080,2636
4304697,2636
2513851,2638
355460,2646
355460,2646
355460,2646
3554607,2646
4319737,2647
420005,2653
4200051,2653
4213153,2654
2205540,2656
3515301,2658
3143609,2660
314360,2661
351530,2661
314360,2661
351530,2661
4311239,2662
521160,2663
521160,2663
521160,2663
5211602,2663
351010,2668
351010,2668
351010,2668
2406403,2668
3510104,2668
4316477,2669
4312385,2670
353380,2673
353380,2673
353380,2673
353380,2673
353380,2673
3533809,2673
350620,2674
240640,2674
350620,2674
240640,2674
350620,2674
3506201,2674
521600,2676
521600,2676
521600,2676
4215752,2677
5216007,2682
521305,2685
5213053,2685
410340,2695
410340,2695
410340,2695
4103404,2695
317030,2700
317030,2700
312640,2701
312640,2701
2509370,2702
350060,2703
352790,2703
350060,2703
352790,2703
350060,2703
352790,2703
351650,2705
351650,2705
351650,2705
3126406,2705
3170305,2705
3500600,2707
3532157,2707
3516507,2708
310130,2709
310130,2709
3101300,2709
4315321,2710
3527900,2714
4318457,2720
4321469,2724
3553658,2726
5106455,2726
410270,2727
410270,2727
4102703,2727
4124202,2727
354440,2729
354440,2729
354440,2729
3544400,2729
4301073,2730
3162302,2731
316230,2732
412420,2732
316230,2732
412420,2732
4207577,2739
520680,2747
520680,2747
520680,2747
5206800,2747
421430,2748
421430,2748
4214300,2748
311720,2749
311720,2749
3117207,2749
4312427,2749
4211652,2750
4313011,2751
2210953,2753
4203253,2753
431455,2757
4314555,2757
4214151,2758
432370,2759
4323705,2759
4204194,2762
4103024,2764
521690,2766
4217758,2766
4204152,2771
310380,2772
310380,2772
420415,2773
1712009,2773
5216908,2773
431844,2774
4318440,2774
3103801,2775
4302253,2776
311620,2785
311620,2785
311620,2785
3116209,2785
314020,2788
314020,2788
3140209,2788
3157278,2788
411830,2791
411830,2791
4118303,2791
311590,2792
311590,2792
3115904,2792
3549003,2793
4323770,2793
171800,2795
1718006,2796
430783,2797
3164431,2798
3525854,2798
4307831,2798
3548302,2803
354830,2806
354830,2806
354830,2806
354180,2808
354180,2808
3541802,2808
4219150,2808
2516755,2813
4119657,2814
4320321,2814
522130,2817
522130,2817
522130,2817
5221304,2819
3530003,2820
522070,2821
522070,2821
310360,2823
310360,2823
3103603,2823
2209757,2825
5220702,2825
4305975,2826
4306072,2826
5214879,2826
353000,2827
353000,2827
4117297,2827
351610,2829
351610,2829
351610,2829
3516101,2829
354710,2831
354710,2831
354710,2831
3547106,2831
432350,2832
4323507,2832
4210704,2839
250840,2841
250840,2841
2508406,2841
3150109,2841
315010,2844
315010,2844
315010,2844
5210158,2844
3165560,2847
4121356,2847
4202875,2850
2403756,2854
432163,2855
2513968,2855
4321634,2855
311500,2857
311500,2857
311500,2857
3115003,2857
3540853,2858
4101150,2859
354450,2862
354450,2862
3544509,2862
270700,2866
270700,2866
313000,2866
270700,2866
313000,2866
430635,2866
2707008,2866
3130002,2866
4306353,2866
431643,2869
4316436,2869
241500,2872
241500,2872
2415008,2872
4319372,2873
240390,2874
240390,2874
2403905,2874
4101051,2874
2204154,2879
5210307,2887
521030,2888
521030,2888
521030,2888
4211256,2890
1718881,2894
2409209,2895
4215687,2896
240920,2899
240920,2899
310440,2901
310440,2901
3104403,2901
521950,2905
521950,2905
521950,2905
4202081,2906
5219506,2909
1720259,2910
4218855,2910
310140,2913
310140,2913
3101409,2913
280250,2914
280250,2914
4321832,2914
4300570,2917
1717206,2920
431805,2926
4318051,2926
251060,2928
251060,2928
2510600,2928
5003900,2928
2802502,2929
5206305,2932
520630,2933
250620,2933
520630,2933
250620,2933
520630,2933
2506202,2933
5221577,2933
3537156,2940
5216452,2950
5108857,2951
4321493,2952
4309571,2954
280730,2957
280730,2957
2807303,2957
315330,2959
315330,2959
3153301,2959
2205359,2960
520660,2961
520660,2961
520660,2961
3127354,2962
5206602,2964
4305116,2965
4321329,2966
280500,2968
314040,2968
280500,2968
314040,2968
3140407,2968
430697,2970
432132,2970
4306973,2970
311690,2972
311690,2972
311690,2972
3116902,2972
2805000,2974
251570,2975
251570,2975
2411601,2975
2515708,2975
2210391,2976
2400406,2980
313500,2982
313500,2982
313500,2982
311960,2983
311960,2983
3119609,2983
240040,2984
240040,2984
2211506,2986
411030,2988
421260,2988
411030,2988
421260,2988
4110300,2988
4212601,2988
4312617,2988
3135001,2990
4219853,2991
5107263,2991
312280,2994
312280,2994
312280,2994
3122801,2994
350150,3000
521200,3000
350150,3000
521200,3000
350150,3000
521200,3000
3501509,3000
5212006,3000
351590,3003
351590,3003
351590,3003
3515905,3003
4311734,3003
430495,3007
4304952,3007
411160,3008
421590,3008
411160,3008
421590,3008
4215901,3008
312150,3009
312150,3009
4111605,3010
432023,3011
4320230,3011
3121506,3015
522108,3016
5221080,3016
4205175,3018
3515129,3020
4310363,3023
431036,3025
5106174,3029
3125804,3030
355130,3031
355130,3031
3551306,3031
312580,3033
312580,3033
2503753,3033
432320,3036
4323200,3036
312550,3039
312550,3039
2200806,3039
5108352,3052
3127370,3053
3145802,3055
3125507,3056
522180,3058
522180,3058
522180,3058
2410603,3063
4306379,3064
3533205,3068
2209609,3069
241060,3070
241060,3070
353320,3072
353320,3072
5221809,3074
2502052,3075
2211605,3076
430695,3080
4306957,3080
220860,3085
220860,3085
2208601,3085
430705,3088
4307054,3088
4301859,3089
4312377,3102
4304655,3104
350500,3116
350500,3116
3505005,3116
3514924,3120
1703057,3122
3120003,3127
4114351,3127
5103957,3135
3168051,3137
521920,3142
521920,3142
521920,3142
5219209,3142
421300,3147
421300,3147
4213005,3147
1713957,3152
311040,3154
314420,3154
311040,3154
314420,3154
1712801,3154
3110400,3154
3144201,3154
2506509,3159
3525409,3160
4106852,3162
314950,3165
241070,3165
314950,3165
241070,3165
314950,3165
2410702,3165
3149507,3165
352540,3168
352540,3168
4307401,3168
2516151,3169
5219456,3173
1701051,3175
431275,3177
4312443,3182
4312757,3182
4313003,3184
4306320,3190
353970,3192
353970,3192
353970,3192
3539707,3192
314580,3197
314580,3197
5101001,3197
352830,3200
352830,3200
352830,3200
3528304,3200
4319125,3201
251560,3204
251560,3204
2515609,3204
313830,3205
313830,3205
3138302,3205
4128625,3206
432330,3207
4323309,3207
4103370,3209
4217105,3209
421710,3211
421710,3211
420110,3214
420110,3214
4201109,3214
510100,3221
315970,3224
315970,3224
3159704,3224
3522158,3228
5203609,3232
251460,3233
251460,3233
2514602,3233
2201309,3234
4308656,3234
2515203,3235
3170479,3235
3541653,3236
3160603,3238
5218391,3239
520360,3240
316060,3240
520360,3240
316060,3240
520360,3240
3522000,3246
4303673,3247
4322525,3253
2206951,3260
352200,3263
352200,3263
352200,3263
3153004,3265
353090,3266
353090,3266
2512747,3266
3530904,3266
4307450,3272
5208152,3275
1705102,3277
5202353,3277
520235,3278
4306452,3278
421020,3279
421020,3279
4210209,3279
3144375,3280
2201572,3284
315300,3285
315300,3285
315300,3285
421755,3285
4217550,3285
311310,3288
311310,3288
3113107,3288
4202438,3290
4318622,3290
312190,3292
312190,3292
5206701,3292
3121902,3293
4103222,3293
520670,3297
520670,3297
520670,3297
420180,3300
420180,3300
4201802,3300
311970,3301
311970,3301
3119708,3301
3153707,3303
4213351,3303
240190,3304
240190,3304
2401909,3308
521878,3311
5218789,3312
315370,3315
315370,3315
315370,3315
4319356,3315
1100262,3316
250590,3317
250590,3317
2505907,3317
520750,3318
520750,3318
520750,3318
5207501,3320
5203962,3321
5204557,3325
1718840,3326
3126950,3329
412210,3334
412210,3334
4122107,3334
410855,3337
4108551,3337
3114709,3341
2202075,3343
4313359,3343
431335,3347
5218052,3347
311470,3350
311470,3350
311470,3350
3542800,3358
2207355,3363
2513984,3364
314880,3365
420980,3365
314880,3365
420980,3365
3148806,3365
4209805,3365
2414456,3368
3171501,3370
317150,3371
317150,3371
5215652,3371
420680,3373
420680,3373
4206801,3373
3125309,3376
312530,3377
312530,3377
312530,3377
411740,3380
411740,3380
4117404,3380
521565,3382
3129905,3382
3161056,3382
3552551,3383
5103361,3385
520460,3387
520460,3387
4203154,3387
5204607,3387
311980,3391
311980,3391
311980,3391
3119807,3391
2806909,3393
412665,3394
4126652,3394
280690,3395
280690,3395
314370,3399
314370,3399
314370,3399
3143708,3399
241180,3401
241180,3401
430670,3401
241180,3401
430670,3401
2411809,3401
4306700,3401
3106101,3403
310610,3404
310610,3404
312990,3406
312990,3406
5108105,3418
1501253,3431
411290,3433
411290,3433
411290,3433
4112900,3433
4120333,3434
5200829,3434
311900,3435
311900,3435
3119005,3435
4216354,3435
354360,3436
354360,3436
354360,3436
3543600,3436
510810,3437
510810,3437
353330,3441
353330,3441
431055,3441
3533304,3441
4310553,3441
314130,3444
314130,3444
3141306,3444
1702703,3446
3137908,3452
5221452,3452
241000,3453
241000,3453
2410009,3453
313790,3456
313790,3456
2803807,3456
4202859,3457
280380,3461
280380,3461
280380,3461
311540,3462
311540,3462
3115409,3462
317110,3466
317110,3466
317110,3466
317110,3466
521490,3468
521490,3468
521490,3468
5106190,3468
4305371,3471
5214903,3471
4107553,3472
4205605,3472
4116604,3478
354010,3479
354010,3479
354010,3479
411660,3480
411660,3480
3540101,3481
3171105,3483
4323754,3485
3161650,3486
314920,3490
314920,3490
3149200,3490
316610,3493
316610,3493
316610,3493
430410,3494
4304101,3494
3166105,3497
420160,3500
420160,3500
4201604,3502
5203575,3503
1711506,3507
250550,3508
251300,3508
250550,3508
251300,3508
2513000,3508
4107124,3510
4314035,3511
316090,3512
316090,3512
316090,3512
500797,3512
2505501,3512
3160900,3513
312470,3515
312470,3515
312470,3515
521520,3516
521520,3516
521520,3516
3124708,3516
5007976,3518
5215207,3519
240950,3521
240950,3521
2409506,3521
2501351,3522
4322327,3522
520552,3523
5205521,3523
1101476,3524
1711951,3525
4218350,3527
1710904,3532
4219101,3532
316000,3534
316000,3534
421910,3535
421910,3535
2407252,3536
3538303,3537
3160009,3538
2513356,3539
522100,3540
353830,3541
353830,3541
353830,3541
5221007,3541
3102407,3546
310240,3548
310240,3548
430560,3550
4305603,3550
520650,3555
520650,3555
520650,3555
5206503,3555
350020,3557
250340,3557
350020,3557
250340,3557
350020,3557
2503407,3557
3500204,3557
5215900,3557
2210623,3560
521590,3561
521590,3561
4101655,3561
3110806,3564
520960,3568
520960,3568
3507159,3571
4123956,3571
5209606,3571
1100908,3575
4311130,3575
4204178,3581
2406155,3582
315940,3583
315940,3583
3159407,3583
4111308,3583
411130,3585
411130,3585
5107297,3592
241110,3595
241110,3595
2411106,3595
3156403,3596
4219408,3600
315640,3601
421940,3601
315640,3601
421940,3601
420515,3604
4205159,3604
5107578,3604
520090,3607
520090,3607
520090,3607
5200902,3609
4315552,3616
315840,3622
355120,3622
315840,3622
355120,3622
3158409,3622
3551207,3622
251050,3627
410610,3627
251050,3627
410610,3627
2510501,3627
4307815,3628
352080,3630
352080,3630
352080,3630
3520806,3630
4319703,3632
240690,3633
240690,3633
2406908,3633
4310900,3633
4106100,3636
2505808,3638
5205059,3638
4123204,3646
2209500,3648
5106851,3649
520260,3650
520260,3650
520260,3650
5202601,3650
270490,3652
270490,3652
2704906,3652
431535,3653
4315354,3653
310960,3654
310960,3654
520465,3654
3109600,3654
5204656,3656
3127388,3659
5221908,3659
522190,3661
522190,3661
522190,3661
2207850,3663
4120150,3663
352820,3664
352820,3664
3528205,3664
4301552,3665
4116307,3672
411630,3678
411630,3678
521935,3680
1718402,3681
3111150,3684
5219357,3686
2411056,3687
1703891,3688
350350,3693
350350,3693
350350,3693
350350,3693
350350,3693
350350,3693
4300851,3693
3503505,3696
4308078,3697
