CodMunIBGE,PIB 2010 (R$),VALUE
3124609,17339.214,17339214.0
3109253,17386.703,17386703.0
2510501,17407.039,17407039.0
2806909,17426.795,17426795.0
2201804,17458.481,17458481.0
2503753,17475.886,17475886.0
2414456,17494.05,17494050.0
2511004,17507.416,17507416.0
2209658,17533.034,17533034.0
2707008,17588.526,17588526.0
2406155,17595.839,17595839.0
2802502,17630.899,17630899.0
2411106,17655.718,17655718.0
3136520,17729.432,17729432.0
2508703,17733.148,17733148.0
3127370,17735.235,17735235.0
1711951,17744.236,17744236.0
2506509,17786.265,17786265.0
3504701,17822.893,17822893.0
3518008,17899.411,17899411.0
2807303,17964.373,17964373.0
5209457,17970.732,17970732.0
3168051,18003.092,18003092.0
2408607,18006.123,18006123.0
1712405,18046.067,18046067.0
2406403,18069.366,18069366.0
3125804,18080.722,18080722.0
2110807,18089.635,18089635.0
3166956,18091.19,18091190.0
2411700,18102.27,18102270.0
2912608,18134.488,18134488.0
2505907,18135.524,18135524.0
2205599,18173.341,18173341.0
2514552,18176.388,18176388.0
5203962,18197.163,18197163.0
3171501,18300.487,18300487.0
2410009,18322.466,18322466.0
4315073,18368.521,18368521.0
5220280,18416.527,18416527.0
2411908,18421.454,18421454.0
3142502,18425.364,18425364.0
3166501,18492.707,18492707.0
2206050,18503.315,18503315.0
3536570,18550.637,18550637.0
5209291,18553.107,18553107.0
3137908,18555.894,18555894.0
2706208,18559.887,18559887.0
2411429,18569.667,18569667.0
3101300,18592.288,18592288.0
2415008,18598.902,18598902.0
3166105,18637.323,18637323.0
2204006,18644.292,18644292.0
2210623,18663.584,18663584.0
3119906,18680.435,18680435.0
3162658,18780.222,18780222.0
3522158,18787.7,18787700.0
2406908,18866.966,18866966.0
2202729,18875.523,18875523.0
2101806,18880.906,18880906.0
4217956,18899.25,18899250.0
5213400,18904.894,18904894.0
1706258,18920.415,18920415.0
2501351,18924.699,18924699.0
2201945,18928.831,18928831.0
2201770,18944.212,18944212.0
5206701,18967.221,18967221.0
1703602,18970.24,18970240.0
2304806,18992.684,18992684.0
3104403,18995.083,18995083.0
1703891,19058.06,19058060.0
4107520,19059.043,19059043.0
1718808,19060.577,19060577.0
2514107,19071.228,19071228.0
3111150,19094.234,19094234.0
5215801,19145.488,19145488.0
2205524,19225.697,19225697.0
2106201,19311.573,19311573.0
4304853,19432.03,19432030.0
2400604,19440.347,19440347.0
2201919,19481.81,19481810.0
3149002,19493.421,19493421.0
2504074,19527.821,19527821.0
3160207,19544.201,19544201.0
2918704,19609.326,19609326.0
2209302,19640.982,19640982.0
3108701,19658.134,19658134.0
3522653,19686.187,19686187.0
2200277,19686.924,19686924.0
3161650,19691.849,19691849.0
3547205,19704.942,19704942.0
2202091,19711.014,19711014.0
1718881,19746.404,19746404.0
2205300,19841.443,19841443.0
2509602,19956.486,19956486.0
2401503,19993.525,19993525.0
2911253,20034.932,20034932.0
4116505,20064.865,20064865.0
2508109,20119.267,20119267.0
3121704,20119.27,20119270.0
5213855,20176.831,20176831.0
2513927,20183.796,20183796.0
5220702,20223.741,20223741.0
2206357,20226.585,20226585.0
5214705,20315.561,20315561.0
3145505,20328.499,20328499.0
1712454,20333.966,20333966.0
2202109,20337.836,20337836.0
3158607,20386.615,20386615.0
2207777,20430.602,20430602.0
3529104,20450.833,20450833.0
3114907,20478.365,20478365.0
2913309,20483.943,20483943.0
2705903,20489.576,20489576.0
2101731,20542.502,20542502.0
2202133,20564.525,20564525.0
3127057,20574.47,20574470.0
5212253,20580.365,20580365.0
3158409,20580.953,20580953.0
3121506,20585.822,20585822.0
2109056,20590.261,20590261.0
2202539,20638.797,20638797.0
2203602,20643.328,20643328.0
2512077,20655.699,20655699.0
2908804,20669.655,20669655.0
2105658,20675.544,20675544.0
3123304,20679.756,20679756.0
2202174,20742.489,20742489.0
3555901,20749.467,20749467.0
2111672,20768.41,20768410.0
1720853,20787.516,20787516.0
2514453,20795.682,20795682.0
2408805,20800.033,20800033.0
2517209,20802.329,20802329.0
2505352,20814.547,20814547.0
3106804,20822.213,20822213.0
2209872,20830.053,20830053.0
2411007,20867.258,20867258.0
2403301,20874.994,20874994.0
1703883,20877.884,20877884.0
2512762,20925.993,20925993.0
2501534,20935.184,20935184.0
2210052,20942.815,20942815.0
3106655,20962.028,20962028.0
2404002,20972.482,20972482.0
2505808,20982.185,20982185.0
1718501,21001.843,21001843.0
2410801,21010.186,21010186.0
3118106,21024.92,21024920.0
2206670,21032.05,21032050.0
4116000,21080.165,21080165.0
2408706,21104.046,21104046.0
3103108,21125.689,21125689.0
3112059,21138.053,21138053.0
3548302,21142.087,21142087.0
2103125,21147.105,21147105.0
2407609,21148.634,21148634.0
2514701,21157.561,21157561.0
2205573,21164.39,21164390.0
2512754,21173.844,21173844.0
2209104,21176.032,21176032.0
1721307,21176.273,21176273.0
2909505,21189.829,21189829.0
2510303,21237.313,21237313.0
3120003,21259.912,21259912.0
1715101,21269.607,21269607.0
2607109,21277.16,21277160.0
3126406,21282.674,21282674.0
2111631,21306.842,21306842.0
2509503,21337.501,21337501.0
5200506,21338.163,21338163.0
3170651,21342.216,21342216.0
3536257,21382.461,21382461.0
2210300,21406.649,21406649.0
1720309,21421.672,21421672.0
2104701,21451.622,21451622.0
5214804,21485.434,21485434.0
3107000,21516.638,21516638.0
3515806,21530.903,21530903.0
3543238,21532.985,21532985.0
3144375,21541.28,21541280.0
4112603,21546.205,21546205.0
2201739,21553.001,21553001.0
2206902,21561.402,21561402.0
4305835,21569.551,21569551.0
2408409,21594.344,21594344.0
2209708,21607.024,21607024.0
3140100,21621.347,21621347.0
5200159,21647.634,21647634.0
3102209,21650.741,21650741.0
3163300,21668.15,21668150.0
3110400,21713.386,21713386.0
3157278,21721.145,21721145.0
3125002,21748.351,21748351.0
3159100,21761.737,21761737.0
3119609,21770.541,21770541.0
3162302,21771.877,21771877.0
1702703,21788.636,21788636.0
3140308,21838.845,21838845.0
4125555,21892.421,21892421.0
2209971,21894.864,21894864.0
2205276,21901.015,21901015.0
2202653,21915.413,21915413.0
2100550,21934.451,21934451.0
2204352,21936.867,21936867.0
2413557,21970.676,21970676.0
3102407,21985.763,21985763.0
2409332,22042.06,22042060.0
3161601,22064.474,22064474.0
2504207,22150.412,22150412.0
4217154,22193.444,22193444.0
