CODE,RAW DATE,TERCODIGO,YEAR,NIVNOME,VALUE (Habitante)
POPTOT,2010-01-01T00:00:00-02:00,316480,2010,AMC 70-00,1616.0
POPTOT,2010-01-01T00:00:00-02:00,316480,2010,AMC 91-00,1616.0
POPTOT,2010-01-01T00:00:00-02:00,241490,2010,AMC 70-00,1618.0
POPTOT,2010-01-01T00:00:00-02:00,241490,2010,AMC 91-00,1618.0
POPTOT,2010-01-01T00:00:00-02:00,2414902,2010,Municípios,1618.0
POPTOT,2010-01-01T00:00:00-02:00,4311643,2010,Municípios,1624.0
POPTOT,2010-01-01T00:00:00-02:00,1709807,2010,Municípios,1639.0
POPTOT,2010-01-01T00:00:00-02:00,354720,2010,AMC 70-00,1641.0
POPTOT,2010-01-01T00:00:00-02:00,354720,2010,AMC 91-00,1641.0
POPTOT,2010-01-01T00:00:00-02:00,3547205,2010,Municípios,1641.0
POPTOT,2010-01-01T00:00:00-02:00,4316733,2010,Municípios,1655.0
POPTOT,2010-01-01T00:00:00-02:00,3103108,2010,Municípios,1671.0
POPTOT,2010-01-01T00:00:00-02:00,310310,2010,AMC 70-00,1673.0
POPTOT,2010-01-01T00:00:00-02:00,310310,2010,AMC 91-00,1673.0
POPTOT,2010-01-01T00:00:00-02:00,4308854,2010,Municípios,1677.0
POPTOT,2010-01-01T00:00:00-02:00,2514651,2010,Municípios,1684.0
POPTOT,2010-01-01T00:00:00-02:00,3513850,2010,Municípios,1689.0
POPTOT,2010-01-01T00:00:00-02:00,5220058,2010,Municípios,1689.0
POPTOT,2010-01-01T00:00:00-02:00,522005,2010,AMC 91-00,1692.0
POPTOT,2010-01-01T00:00:00-02:00,251260,2010,AMC 70-00,1699.0
POPTOT,2010-01-01T00:00:00-02:00,251260,2010,AMC 91-00,1699.0
POPTOT,2010-01-01T00:00:00-02:00,2512606,2010,Municípios,1699.0
POPTOT,2010-01-01T00:00:00-02:00,1718659,2010,Municípios,1714.0
POPTOT,2010-01-01T00:00:00-02:00,4317251,2010,Municípios,1720.0
POPTOT,2010-01-01T00:00:00-02:00,4312674,2010,Municípios,1721.0
POPTOT,2010-01-01T00:00:00-02:00,2512788,2010,Municípios,1722.0
POPTOT,2010-01-01T00:00:00-02:00,421390,2010,AMC 70-00,1724.0
POPTOT,2010-01-01T00:00:00-02:00,421390,2010,AMC 91-00,1724.0
POPTOT,2010-01-01T00:00:00-02:00,4213906,2010,Municípios,1725.0
POPTOT,2010-01-01T00:00:00-02:00,4305934,2010,Municípios,1725.0
POPTOT,2010-01-01T00:00:00-02:00,311850,2010,AMC 70-00,1727.0
POPTOT,2010-01-01T00:00:00-02:00,311850,2010,AMC 91-00,1727.0
