CODE,RAW DATE,TERCODIGO,YEAR,NIVNOME,VALUE (R$)
RECORRM,2010-01-01T00:00:00-02:00,4110052,2010,Municípios,6458883.11
RECORRM,2010-01-01T00:00:00-02:00,4311429,2010,Municípios,6477971.02
RECORRM,2010-01-01T00:00:00-02:00,1720309,2010,Municípios,6481430.05
RECORRM,2010-01-01T00:00:00-02:00,1703883,2010,Municípios,6496578.53
RECORRM,2010-01-01T00:00:00-02:00,1715101,2010,Municípios,6506961.0
RECORRM,2010-01-01T00:00:00-02:00,2513851,2010,Municípios,6507085.71
RECORRM,2010-01-01T00:00:00-02:00,2110906,2010,Municípios,6509854.18
RECORRM,2010-01-01T00:00:00-02:00,5107883,2010,Municípios,6511055.01
RECORRM,2010-01-01T00:00:00-02:00,3147501,2010,Municípios,6512638.07
RECORRM,2010-01-01T00:00:00-02:00,2201804,2010,Municípios,6534873.8
RECORRM,2010-01-01T00:00:00-02:00,2208551,2010,Municípios,6540810.33
RECORRM,2010-01-01T00:00:00-02:00,2510659,2010,Municípios,6551219.48
RECORRM,2010-01-01T00:00:00-02:00,5209457,2010,Municípios,6552977.07
RECORRM,2010-01-01T00:00:00-02:00,2201176,2010,Municípios,6558660.23
RECORRM,2010-01-01T00:00:00-02:00,1710904,2010,Municípios,6558986.92
RECORRM,2010-01-01T00:00:00-02:00,2517407,2010,Municípios,6570503.78
RECORRM,2010-01-01T00:00:00-02:00,2404804,2010,Municípios,6609557.36
RECORRM,2010-01-01T00:00:00-02:00,1705102,2010,Municípios,6618948.36
RECORRM,2010-01-01T00:00:00-02:00,1717206,2010,Municípios,6621658.55
RECORRM,2010-01-01T00:00:00-02:00,2211407,2010,Municípios,6655852.37
RECORRM,2010-01-01T00:00:00-02:00,2206753,2010,Municípios,6657487.35
RECORRM,2010-01-01T00:00:00-02:00,2202075,2010,Municípios,6662128.54
RECORRM,2010-01-01T00:00:00-02:00,3103306,2010,Municípios,6667133.05
RECORRM,2010-01-01T00:00:00-02:00,2207553,2010,Municípios,6671650.4
RECORRM,2010-01-01T00:00:00-02:00,3556958,2010,Municípios,6674187.64
RECORRM,2010-01-01T00:00:00-02:00,1705607,2010,Municípios,6689145.04
RECORRM,2010-01-01T00:00:00-02:00,1718402,2010,Municípios,6695777.24
RECORRM,2010-01-01T00:00:00-02:00,5201207,2010,Municípios,6696047.0
RECORRM,2010-01-01T00:00:00-02:00,3103108,2010,Municípios,6697555.41
RECORRM,2010-01-01T00:00:00-02:00,1711951,2010,Municípios,6713455.47
RECORRM,2010-01-01T00:00:00-02:00,2512788,2010,Municípios,6714414.02
RECORRM,2010-01-01T00:00:00-02:00,5213053,2010,Municípios,6721769.88
RECORRM,2010-01-01T00:00:00-02:00,4304853,2010,Municípios,6722177.72
RECORRM,2010-01-01T00:00:00-02:00,1712801,2010,Municípios,6722651.07
RECORRM,2010-01-01T00:00:00-02:00,1600212,2010,Municípios,6725395.08
RECORRM,2010-01-01T00:00:00-02:00,2204006,2010,Municípios,6731105.35
RECORRM,2010-01-01T00:00:00-02:00,1717800,2010,Municípios,6736374.57
RECORRM,2010-01-01T00:00:00-02:00,2209104,2010,Municípios,6742908.76
RECORRM,2010-01-01T00:00:00-02:00,1720101,2010,Municípios,6745722.43
RECORRM,2010-01-01T00:00:00-02:00,4311643,2010,Municípios,6753737.89
RECORRM,2010-01-01T00:00:00-02:00,3172202,2010,Municípios,6755804.91
RECORRM,2010-01-01T00:00:00-02:00,2510600,2010,Municípios,6762784.59
RECORRM,2010-01-01T00:00:00-02:00,1703073,2010,Municípios,6764643.13
RECORRM,2010-01-01T00:00:00-02:00,2202737,2010,Municípios,6778990.42
RECORRM,2010-01-01T00:00:00-02:00,2211506,2010,Municípios,6779369.89
RECORRM,2010-01-01T00:00:00-02:00,3146602,2010,Municípios,6791589.33
RECORRM,2010-01-01T00:00:00-02:00,2204105,2010,Municípios,6794803.24
RECORRM,2010-01-01T00:00:00-02:00,2203800,2010,Municípios,6795732.0
RECORRM,2010-01-01T00:00:00-02:00,5204201,2010,Municípios,6799684.0
RECORRM,2010-01-01T00:00:00-02:00,2501153,2010,Municípios,6811700.9
RECORRM,2010-01-01T00:00:00-02:00,1718808,2010,Municípios,6815795.85
RECORRM,2010-01-01T00:00:00-02:00,3165800,2010,Municípios,6822938.44
RECORRM,2010-01-01T00:00:00-02:00,2512606,2010,Municípios,6832001.49
RECORRM,2010-01-01T00:00:00-02:00,2500734,2010,Municípios,6842600.0
RECORRM,2010-01-01T00:00:00-02:00,1703107,2010,Municípios,6843987.59
RECORRM,2010-01-01T00:00:00-02:00,2209955,2010,Municípios,6848948.19
RECORRM,2010-01-01T00:00:00-02:00,3164803,2010,Municípios,6852389.55
RECORRM,2010-01-01T00:00:00-02:00,2202802,2010,Municípios,6852777.83
RECORRM,2010-01-01T00:00:00-02:00,1706258,2010,Municípios,6853160.81
RECORRM,2010-01-01T00:00:00-02:00,3118502,2010,Municípios,6867982.96
RECORRM,2010-01-01T00:00:00-02:00,2209807,2010,Municípios,6876564.93
RECORRM,2010-01-01T00:00:00-02:00,4313466,2010,Municípios,6877679.19
RECORRM,2010-01-01T00:00:00-02:00,2510709,2010,Municípios,6884183.38
RECORRM,2010-01-01T00:00:00-02:00,2209351,2010,Municípios,6884452.41
RECORRM,2010-01-01T00:00:00-02:00,2209377,2010,Municípios,6897279.45
RECORRM,2010-01-01T00:00:00-02:00,1720499,2010,Municípios,6899231.14
RECORRM,2010-01-01T00:00:00-02:00,3122801,2010,Municípios,6900409.74
RECORRM,2010-01-01T00:00:00-02:00,2205359,2010,Municípios,6901203.92
RECORRM,2010-01-01T00:00:00-02:00,2504108,2010,Municípios,6911253.33
RECORRM,2010-01-01T00:00:00-02:00,3115607,2010,Municípios,6912341.23
RECORRM,2010-01-01T00:00:00-02:00,3132800,2010,Municípios,6918373.9
RECORRM,2010-01-01T00:00:00-02:00,4116000,2010,Municípios,6922184.0
RECORRM,2010-01-01T00:00:00-02:00,2207306,2010,Municípios,6922336.54
RECORRM,2010-01-01T00:00:00-02:00,2514800,2010,Municípios,6931833.4
RECORRM,2010-01-01T00:00:00-02:00,2509370,2010,Municípios,6937374.51
RECORRM,2010-01-01T00:00:00-02:00,5200159,2010,Municípios,6938329.23
RECORRM,2010-01-01T00:00:00-02:00,4116505,2010,Municípios,6947043.73
RECORRM,2010-01-01T00:00:00-02:00,3165503,2010,Municípios,6956546.89
RECORRM,2010-01-01T00:00:00-02:00,4319364,2010,Municípios,6958895.94
RECORRM,2010-01-01T00:00:00-02:00,5214903,2010,Municípios,6963809.0
RECORRM,2010-01-01T00:00:00-02:00,2514651,2010,Municípios,6965632.09
RECORRM,2010-01-01T00:00:00-02:00,4115903,2010,Municípios,6968450.91
RECORRM,2010-01-01T00:00:00-02:00,2210102,2010,Municípios,6968707.69
RECORRM,2010-01-01T00:00:00-02:00,5213400,2010,Municípios,6979566.53
RECORRM,2010-01-01T00:00:00-02:00,5212907,2010,Municípios,6981400.35
RECORRM,2010-01-01T00:00:00-02:00,3166600,2010,Municípios,6996747.32
RECORRM,2010-01-01T00:00:00-02:00,5220058,2010,Municípios,7008723.32
RECORRM,2010-01-01T00:00:00-02:00,2205300,2010,Municípios,7010881.45
RECORRM,2010-01-01T00:00:00-02:00,5213855,2010,Municípios,7017535.18
RECORRM,2010-01-01T00:00:00-02:00,1712702,2010,Municípios,7018397.0
RECORRM,2010-01-01T00:00:00-02:00,2517100,2010,Municípios,7022920.69
RECORRM,2010-01-01T00:00:00-02:00,3129905,2010,Municípios,7025098.67
RECORRM,2010-01-01T00:00:00-02:00,1708254,2010,Municípios,7026514.08
RECORRM,2010-01-01T00:00:00-02:00,1708304,2010,Municípios,7029881.1
RECORRM,2010-01-01T00:00:00-02:00,3160504,2010,Municípios,7031447.27
RECORRM,2010-01-01T00:00:00-02:00,2201929,2010,Municípios,7032797.5
RECORRM,2010-01-01T00:00:00-02:00,4123600,2010,Municípios,7038506.67
RECORRM,2010-01-01T00:00:00-02:00,1718501,2010,Municípios,7038630.27
RECORRM,2010-01-01T00:00:00-02:00,4110300,2010,Municípios,7039538.31
RECORRM,2010-01-01T00:00:00-02:00,3115409,2010,Municípios,7043203.11
RECORRM,2010-01-01T00:00:00-02:00,4106100,2010,Municípios,7048061.8
RECORRM,2010-01-01T00:00:00-02:00,2505501,2010,Municípios,7061282.74
RECORRM,2010-01-01T00:00:00-02:00,2515203,2010,Municípios,7064411.7
RECORRM,2010-01-01T00:00:00-02:00,2205581,2010,Municípios,7067265.22
RECORRM,2010-01-01T00:00:00-02:00,2515609,2010,Municípios,7076783.86
RECORRM,2010-01-01T00:00:00-02:00,2210359,2010,Municípios,7077569.81
RECORRM,2010-01-01T00:00:00-02:00,2202711,2010,Municípios,7085469.69
RECORRM,2010-01-01T00:00:00-02:00,4201802,2010,Municípios,7087701.78
RECORRM,2010-01-01T00:00:00-02:00,2203420,2010,Municípios,7097552.87
RECORRM,2010-01-01T00:00:00-02:00,4322186,2010,Municípios,7109292.63
RECORRM,2010-01-01T00:00:00-02:00,4300661,2010,Municípios,7111176.5
RECORRM,2010-01-01T00:00:00-02:00,4311239,2010,Municípios,7121376.72
RECORRM,2010-01-01T00:00:00-02:00,2210938,2010,Municípios,7133621.52
RECORRM,2010-01-01T00:00:00-02:00,5214804,2010,Municípios,7136411.37
RECORRM,2010-01-01T00:00:00-02:00,2506202,2010,Municípios,7140992.82
RECORRM,2010-01-01T00:00:00-02:00,1703891,2010,Municípios,7153829.61
RECORRM,2010-01-01T00:00:00-02:00,5200506,2010,Municípios,7153931.83
RECORRM,2010-01-01T00:00:00-02:00,2208874,2010,Municípios,7155878.41
RECORRM,2010-01-01T00:00:00-02:00,3149408,2010,Municípios,7159258.75
RECORRM,2010-01-01T00:00:00-02:00,3159407,2010,Municípios,7161896.61
RECORRM,2010-01-01T00:00:00-02:00,2516151,2010,Municípios,7177749.99
RECORRM,2010-01-01T00:00:00-02:00,2211704,2010,Municípios,7179993.27
RECORRM,2010-01-01T00:00:00-02:00,2411429,2010,Municípios,7181982.53
RECORRM,2010-01-01T00:00:00-02:00,2209856,2010,Municípios,7184384.63
RECORRM,2010-01-01T00:00:00-02:00,2209401,2010,Municípios,7195364.66
RECORRM,2010-01-01T00:00:00-02:00,2403756,2010,Municípios,7198070.48
RECORRM,2010-01-01T00:00:00-02:00,2513968,2010,Municípios,7205011.63
RECORRM,2010-01-01T00:00:00-02:00,3163607,2010,Municípios,7208527.58
RECORRM,2010-01-01T00:00:00-02:00,4314787,2010,Municípios,7214819.0
RECORRM,2010-01-01T00:00:00-02:00,2513927,2010,Municípios,7219138.0
RECORRM,2010-01-01T00:00:00-02:00,2514602,2010,Municípios,7220882.54
RECORRM,2010-01-01T00:00:00-02:00,3117207,2010,Municípios,7221953.14
RECORRM,2010-01-01T00:00:00-02:00,4207858,2010,Municípios,7222851.67
RECORRM,2010-01-01T00:00:00-02:00,2506509,2010,Municípios,7223409.61
RECORRM,2010-01-01T00:00:00-02:00,3167004,2010,Municípios,7223918.64
RECORRM,2010-01-01T00:00:00-02:00,2201988,2010,Municípios,7224251.13
RECORRM,2010-01-01T00:00:00-02:00,2806909,2010,Municípios,7225173.08
RECORRM,2010-01-01T00:00:00-02:00,2505907,2010,Municípios,7225956.27
RECORRM,2010-01-01T00:00:00-02:00,2505303,2010,Municípios,7228127.68
RECORRM,2010-01-01T00:00:00-02:00,2403905,2010,Municípios,7229139.65
RECORRM,2010-01-01T00:00:00-02:00,3168051,2010,Municípios,7230740.36
RECORRM,2010-01-01T00:00:00-02:00,3163201,2010,Municípios,7232266.09
RECORRM,2010-01-01T00:00:00-02:00,2202251,2010,Municípios,7238687.0
RECORRM,2010-01-01T00:00:00-02:00,3127354,2010,Municípios,7238963.2
RECORRM,2010-01-01T00:00:00-02:00,3145703,2010,Municípios,7241035.84
RECORRM,2010-01-01T00:00:00-02:00,3503950,2010,Municípios,7241839.7
RECORRM,2010-01-01T00:00:00-02:00,2209302,2010,Municípios,7246159.65
RECORRM,2010-01-01T00:00:00-02:00,4218954,2010,Municípios,7249704.63
RECORRM,2010-01-01T00:00:00-02:00,2205607,2010,Municípios,7252462.95
RECORRM,2010-01-01T00:00:00-02:00,2211357,2010,Municípios,7252590.34
RECORRM,2010-01-01T00:00:00-02:00,5215801,2010,Municípios,7252979.63
RECORRM,2010-01-01T00:00:00-02:00,5106703,2010,Municípios,7264927.98
RECORRM,2010-01-01T00:00:00-02:00,5209291,2010,Municípios,7269130.65
RECORRM,2010-01-01T00:00:00-02:00,3166402,2010,Municípios,7270736.23
