NAME,ID,LEVEL,AREA,CAPITAL
Mandaguari,411420,AMC 70-00,336.0,False
Mandaguari,411420,AMC 91-00,336.0,False
Mandaguari,411420,AMC 60-00,336.0,
Mandaguari,4114203,Municípios,336.0,False
Mandirituba,4114302,Municípios,401.6,False
Manfrinópolis,4114351,Municípios,215.9,False
Mangueirinha,4114401,Municípios,1027.0,False
Manoel Ribas,411450,AMC 91-00,561.7,False
Manoel Ribas,411450,AMC 70-00,561.7,False
Manoel Ribas,4114500,Municípios,561.7,False
Marechal Cândido Rondon,4114609,Municípios,670.8,False
Maria Helena,411470,AMC 91-00,470.9,False
Maria Helena,4114708,Municípios,470.9,False
Marialva,411480,AMC 91-00,476.4,False
Marialva,4114807,Municípios,476.4,False
Marilândia do Sul,4114906,Municípios,390.4,False
Marilena,411500,AMC 91-00,216.4,False
Marilena,411500,AMC 70-00,216.4,False
Marilena,4115002,Municípios,216.4,False
Mariluz,411510,AMC 70-00,444.7,False
Mariluz,411510,AMC 91-00,444.7,False
Mariluz,4115101,Municípios,444.7,False
Maringá,411520,AMC 91-00,490.9,False
Maringá,411520,AMC 70-00,490.9,False
Maringá,4115200,Municípios,490.9,False
Mariópolis,411530,AMC 70-00,231.8,False
Mariópolis,411530,AMC 91-00,231.8,False
Mariópolis,4115309,Municípios,231.8,False
Maripá,4115358,Municípios,320.3,False
Marmeleiro,4115408,Municípios,392.0,False
Marquinho,4115457,Municípios,509.8,False
Marumbi,411550,AMC 91-00,208.7,False
Marumbi,411550,AMC 70-00,208.7,False
Marumbi,4115507,Municípios,208.7,False
Matelândia,4115606,Municípios,650.9,False
Matinhos,411570,AMC 70-00,117.6,False
Matinhos,411570,AMC 91-00,117.6,False
Matinhos,4115705,Municípios,117.6,False
Mato Rico,4115739,Municípios,393.2,False
Mauá da Serra,4115754,Municípios,110.0,False
Medianeira,4115804,Municípios,295.5,False
Mercedes,4115853,Municípios,201.3,False
Mirador,411590,AMC 91-00,213.6,False
Mirador,411590,AMC 70-00,213.6,False
Mirador,4115903,Municípios,213.6,False
Miraselva,4116000,Municípios,91.5,False
Missal,411605,AMC 91-00,346.9,False
Missal,4116059,Municípios,346.9,False
Moreira Sales,411610,AMC 91-00,345.7,False
Moreira Sales,411610,AMC 70-00,345.7,False
Moreira Sales,4116109,Municípios,345.7,False
Morretes,411620,AMC 40-00,695.0,
Morretes,411620,AMC 70-00,695.0,False
Morretes,411620,AMC 91-00,695.0,False
Morretes,411620,AMC 60-00,695.0,
Morretes,4116208,Municípios,695.0,False
Munhoz de Melo,411630,AMC 91-00,136.2,False
Munhoz de Melo,411630,AMC 70-00,136.2,False
Munhoz de Melo,4116307,Municípios,136.2,False
Nossa Senhora das Graças,411640,AMC 70-00,183.0,False
Nossa Senhora das Graças,411640,AMC 91-00,183.0,False
Nossa Senhora das Graças,4116406,Municípios,183.0,False
Nova Aliança do Ivaí,411650,AMC 91-00,129.4,False
Nova Aliança do Ivaí,411650,AMC 70-00,129.4,False
Nova Aliança do Ivaí,4116505,Municípios,129.4,False
Nova América da Colina,411660,AMC 70-00,124.9,False
Nova América da Colina,411660,AMC 91-00,124.9,False
Nova América da Colina,4116604,Municípios,124.9,False
Nova Aurora,411670,AMC 91-00,472.4,False
Nova Aurora,411670,AMC 70-00,472.4,False
Nova Aurora,4116703,Municípios,472.4,False
Nova Cantu,411680,AMC 70-00,586.5,False
Nova Cantu,411680,AMC 91-00,586.5,False
Nova Cantu,4116802,Municípios,586.5,False
Nova Esperança,411690,AMC 91-00,402.5,False
Nova Esperança,411690,AMC 70-00,402.5,False
Nova Esperança,4116901,Municípios,402.5,False
Nova Esperança do Sudoeste,4116950,Municípios,202.9,False
Nova Fátima,411700,AMC 70-00,280.5,False
Nova Fátima,411700,AMC 91-00,280.5,False
Nova Fátima,411700,AMC 60-00,280.5,
Nova Fátima,4117008,Municípios,280.5,False
Nova Laranjeiras,4117057,Municípios,1191.9,False
Nova Londrina,411710,AMC 91-00,269.6,False
Nova Londrina,411710,AMC 70-00,269.6,False
Nova Londrina,4117107,Municípios,269.6,False
Nova Olímpia,411720,AMC 70-00,134.3,False
Nova Olímpia,411720,AMC 91-00,134.3,False
Nova Olímpia,4117206,Municípios,134.3,False
Nova Santa Bárbara,4117214,Municípios,75.2,False
Nova Santa Rosa,411722,AMC 91-00,207.7,False
Nova Santa Rosa,4117222,Municípios,207.7,False
Nova Prata do Iguaçu,411725,AMC 91-00,344.6,False
Nova Prata do Iguaçu,4117255,Municípios,344.6,False
Nova Tebas,411727,AMC 91-00,553.9,False
Nova Tebas,4117271,Municípios,553.9,False
Novo Itacolomi,4117297,Municípios,159.3,False
Ortigueira,411730,AMC 91-00,2451.6,False
Ortigueira,411730,AMC 60-00,2451.6,
Ortigueira,411730,AMC 70-00,2451.6,False
Ortigueira,4117305,Municípios,2451.6,False
Ourizona,411740,AMC 70-00,175.9,False
Ourizona,411740,AMC 91-00,175.9,False
Ourizona,4117404,Municípios,175.9,False
Ouro Verde do Oeste,411745,AMC 91-00,294.6,False
Ouro Verde do Oeste,4117453,Municípios,294.6,False
Paiçandu,411750,AMC 91-00,171.0,False
Paiçandu,411750,AMC 70-00,171.0,False
Paiçandu,4117503,Municípios,171.0,False
Palmas,4117602,Municípios,1586.1,False
Palmeira,411770,AMC 70-00,1465.0,False
Palmeira,411770,AMC 91-00,1465.0,False
Palmeira,411770,AMC 60-00,1465.0,
Palmeira,4117701,Municípios,1465.0,False
Palmital,4117800,Municípios,661.1,False
Palotina,4117909,Municípios,575.8,False
Paraíso do Norte,411800,AMC 91-00,204.7,False
Paraíso do Norte,411800,AMC 70-00,204.7,False
Paraíso do Norte,4118006,Municípios,204.7,False
Paranacity,411810,AMC 70-00,343.8,False
Paranacity,411810,AMC 91-00,343.8,False
Paranacity,4118105,Municípios,343.8,False
Paranaguá,4118204,Municípios,807.1,False
Paranapoema,411830,AMC 91-00,182.3,False
Paranapoema,411830,AMC 70-00,182.3,False
Paranapoema,4118303,Municípios,182.3,False
Paranavaí,411840,AMC 70-00,1206.1,False
Paranavaí,411840,AMC 91-00,1206.1,False
Paranavaí,4118402,Municípios,1206.1,False
Pato Bragado,4118451,Municípios,128.6,False
Pato Branco,4118501,Municípios,540.1,False
Paula Freitas,411860,AMC 91-00,421.0,False
Paula Freitas,411860,AMC 70-00,421.0,False
Paula Freitas,4118600,Municípios,421.0,False
Paulo Frontin,411870,AMC 70-00,367.7,False
Paulo Frontin,411870,AMC 91-00,367.7,False
Paulo Frontin,4118709,Municípios,367.7,False
Peabiru,411880,AMC 91-00,467.0,False
Peabiru,411880,AMC 70-00,467.0,False
Peabiru,4118808,Municípios,467.0,False
Perobal,4118857,Municípios,428.7,False
Pérola,4118907,Municípios,232.5,False
Pérola d'Oeste,4119004,Municípios,224.3,False
Piên,411910,AMC 70-00,260.4,False
Piên,411910,AMC 91-00,260.4,False
Piên,4119103,Municípios,260.4,False
Pinhais,4119152,Municípios,60.7,False
Pinhalão,411920,AMC 91-00,245.2,False
Pinhalão,411920,AMC 60-00,245.2,
Pinhalão,411920,AMC 70-00,245.2,False
Pinhalão,4119202,Municípios,245.2,False
Pinhal de São Bento,4119251,Municípios,96.9,False
Pinhão,4119301,Municípios,2005.6,False
Piraí do Sul,411940,AMC 40-00,1406.2,
Piraí do Sul,411940,AMC 20-00,1406.2,
Piraí do Sul,411940,AMC 70-00,1406.2,False
Piraí do Sul,411940,AMC 60-00,1406.2,
Piraí do Sul,411940,AMC 91-00,1406.2,False
Piraí do Sul,4119400,Municípios,1406.2,False
Piraquara,4119509,Municípios,227.7,False
Pitanga,4119608,Municípios,1676.5,False
Pitangueiras,4119657,Municípios,123.2,False
Planaltina do Paraná,411970,AMC 91-00,353.8,False
Planaltina do Paraná,411970,AMC 70-00,353.8,False
Planaltina do Paraná,4119707,Municípios,353.8,False
Planalto,411980,AMC 70-00,330.5,False
Planalto,411980,AMC 91-00,330.5,False
Planalto,4119806,Municípios,330.5,False
Ponta Grossa,4119905,Municípios,2067.9,False
Pontal do Paraná,4119954,Municípios,201.6,False
Porecatu,412000,AMC 91-00,291.4,False
Porecatu,412000,AMC 60-00,291.4,
Porecatu,412000,AMC 70-00,291.4,False
Porecatu,4120002,Municípios,291.4,False
Porto Amazonas,412010,AMC 70-00,179.0,False
Porto Amazonas,412010,AMC 60-00,179.0,
Porto Amazonas,412010,AMC 91-00,179.0,False
Porto Amazonas,4120101,Municípios,179.0,False
Porto Barreiro,4120150,Municípios,365.9,False
Porto Rico,412020,AMC 91-00,221.9,False
Porto Rico,412020,AMC 70-00,221.9,False
Porto Rico,4120200,Municípios,221.9,False
Porto Vitória,412030,AMC 70-00,201.6,False
Porto Vitória,412030,AMC 91-00,201.6,False
Porto Vitória,4120309,Municípios,201.6,False
Prado Ferreira,4120333,Municípios,164.5,False
Pranchita,4120358,Municípios,226.5,False
Presidente Castelo Branco,412040,AMC 91-00,157.1,False
Presidente Castelo Branco,412040,AMC 70-00,157.1,False
Presidente Castelo Branco,4120408,Municípios,157.1,False
Primeiro de Maio,412050,AMC 70-00,409.8,False
Primeiro de Maio,412050,AMC 91-00,409.8,False
Primeiro de Maio,412050,AMC 60-00,409.8,
Primeiro de Maio,4120507,Municípios,409.8,False
Prudentópolis,412060,AMC 91-00,2280.1,False
Prudentópolis,412060,AMC 70-00,2280.1,False
Prudentópolis,4120606,Municípios,2280.1,False
Quarto Centenário,4120655,Municípios,361.6,False
Quatiguá,412070,AMC 70-00,120.0,False
Quatiguá,412070,AMC 91-00,120.0,False
Quatiguá,412070,AMC 60-00,120.0,
Quatiguá,4120705,Municípios,120.0,False
Quatro Barras,412080,AMC 91-00,180.4,False
Quatro Barras,412080,AMC 70-00,180.4,False
Quatro Barras,4120804,Municípios,180.4,False
Quatro Pontes,4120853,Municípios,197.4,False
Quedas do Iguaçu,4120903,Municípios,819.9,False
Querência do Norte,412100,AMC 70-00,898.2,False
Querência do Norte,412100,AMC 91-00,898.2,False
Querência do Norte,412100,AMC 60-00,898.2,
Querência do Norte,4121000,Municípios,898.2,False
Quinta do Sol,412110,AMC 91-00,327.9,False
Quinta do Sol,412110,AMC 70-00,327.9,False
Quinta do Sol,4121109,Municípios,327.9,False
Quitandinha,412120,AMC 70-00,430.4,False
Quitandinha,412120,AMC 91-00,430.4,False
Quitandinha,4121208,Municípios,430.4,False
Ramilândia,4121257,Municípios,246.7,False
Rancho Alegre,412130,AMC 91-00,169.3,False
Rancho Alegre,412130,AMC 70-00,169.3,False
Rancho Alegre,4121307,Municípios,169.3,False
Rancho Alegre D'Oeste,4121356,Municípios,245.0,False
Realeza,412140,AMC 70-00,354.9,False
Realeza,412140,AMC 91-00,354.9,False
Realeza,4121406,Municípios,354.9,False
Rebouças,412150,AMC 40-00,482.2,
Rebouças,412150,AMC 91-00,482.2,False
Rebouças,412150,AMC 60-00,482.2,
Rebouças,412150,AMC 70-00,482.2,False
Rebouças,4121505,Municípios,482.2,False
Renascença,412160,AMC 70-00,446.1,False
Renascença,412160,AMC 91-00,446.1,False
Renascença,4121604,Municípios,446.1,False
Reserva,4121703,Municípios,1686.3,False
Reserva do Iguaçu,4121752,Municípios,836.5,False
Ribeirão Claro,412180,AMC 40-00,629.1,
Ribeirão Claro,412180,AMC 20-00,629.1,
Ribeirão Claro,412180,AMC 91-00,629.1,False
Ribeirão Claro,412180,AMC 60-00,629.1,
Ribeirão Claro,412180,AMC 70-00,629.1,False
Ribeirão Claro,4121802,Municípios,629.1,False
Ribeirão do Pinhal,412190,AMC 70-00,373.9,False
Ribeirão do Pinhal,412190,AMC 60-00,373.9,
Ribeirão do Pinhal,412190,AMC 91-00,373.9,False
Ribeirão do Pinhal,4121901,Municípios,373.9,False
Rio Azul,412200,AMC 40-00,594.2,
Rio Azul,412200,AMC 91-00,594.2,False
Rio Azul,412200,AMC 60-00,594.2,
Rio Azul,412200,AMC 70-00,594.2,False
Rio Azul,4122008,Municípios,594.2,False
Rio Bom,412210,AMC 70-00,177.4,False
Rio Bom,412210,AMC 91-00,177.4,False
Rio Bom,4122107,Municípios,177.4,False
Rio Bonito do Iguaçu,4122156,Municípios,701.4,False
Rio Branco do Ivaí,4122172,Municípios,315.6,False
Rio Branco do Sul,4122206,Municípios,821.7,False
Rio Negro,412230,AMC 91-00,604.6,False
Rio Negro,412230,AMC 70-00,604.6,False
Rio Negro,4122305,Municípios,604.6,False
Rolândia,4122404,Municípios,460.0,False
Roncador,412250,AMC 70-00,716.1,False
Roncador,412250,AMC 91-00,716.1,False
Roncador,4122503,Municípios,716.1,False
Rondon,412260,AMC 91-00,557.3,False
Rondon,412260,AMC 70-00,557.3,False
Rondon,4122602,Municípios,557.3,False
Rosário do Ivaí,4122651,Municípios,446.3,False
Sabáudia,412270,AMC 70-00,190.9,False
Sabáudia,412270,AMC 91-00,190.9,False
Sabáudia,412270,AMC 60-00,190.9,
Sabáudia,4122701,Municípios,190.9,False
Salgado Filho,4122800,Municípios,181.3,False
Salto do Itararé,412290,AMC 91-00,203.2,False
Salto do Itararé,412290,AMC 70-00,203.2,False
Salto do Itararé,4122909,Municípios,203.2,False
Salto do Lontra,4123006,Municípios,327.5,False
Santa Amélia,412310,AMC 70-00,81.3,False
Santa Amélia,412310,AMC 91-00,81.3,False
Santa Amélia,412310,AMC 60-00,81.3,
Santa Amélia,4123105,Municípios,81.3,False
Santa Cecília do Pavão,4123204,Municípios,107.6,False
Santa Cruz de Monte Castelo,412330,AMC 60-00,445.6,
Santa Cruz de Monte Castelo,412330,AMC 91-00,445.6,False
Santa Cruz de Monte Castelo,412330,AMC 70-00,445.6,False
Santa Cruz de Monte Castelo,4123303,Municípios,445.6,False
Santa Fé,412340,AMC 70-00,277.8,False
Santa Fé,412340,AMC 91-00,277.8,False
Santa Fé,4123402,Municípios,277.8,False
Santa Helena,412350,AMC 91-00,754.7,False
Santa Helena,4123501,Municípios,754.7,False
Santa Inês,412360,AMC 91-00,127.6,False
Santa Inês,412360,AMC 70-00,127.6,False
Santa Inês,4123600,Municípios,127.6,False
Santa Isabel do Ivaí,4123709,Municípios,348.3,False
Santa Izabel do Oeste,412380,AMC 70-00,321.9,False
Santa Izabel do Oeste,412380,AMC 91-00,321.9,False
Santa Izabel do Oeste,4123808,Municípios,321.9,False
Santa Lúcia,4123824,Municípios,172.9,False
Santa Maria do Oeste,4123857,Municípios,848.8,False
Santa Mariana,412390,AMC 91-00,424.9,False
Santa Mariana,412390,AMC 60-00,424.9,
Santa Mariana,412390,AMC 70-00,424.9,False
Santa Mariana,4123907,Municípios,424.9,False
Santa Mônica,4123956,Municípios,260.1,False
Santana do Itararé,412400,AMC 70-00,252.5,False
Santana do Itararé,412400,AMC 91-00,252.5,False
Santana do Itararé,4124004,Municípios,252.5,False
Santa Tereza do Oeste,412402,AMC 91-00,348.7,False
Santa Tereza do Oeste,4124020,Municípios,348.7,False
Santa Terezinha de Itaipu,412405,AMC 91-00,289.0,False
Santa Terezinha de Itaipu,4124053,Municípios,289.0,False
Santo Antônio da Platina,412410,AMC 91-00,722.4,False
Santo Antônio da Platina,412410,AMC 60-00,722.4,
Santo Antônio da Platina,412410,AMC 70-00,722.4,False
Santo Antônio da Platina,4124103,Municípios,722.4,False
Santo Antônio do Caiuá,412420,AMC 70-00,219.2,False
Santo Antônio do Caiuá,412420,AMC 91-00,219.2,False
Santo Antônio do Caiuá,4124202,Municípios,219.2,False
Santo Antônio do Paraíso,412430,AMC 91-00,167.6,False
Santo Antônio do Paraíso,412430,AMC 70-00,167.6,False
Santo Antônio do Paraíso,4124301,Municípios,167.6,False
Santo Antônio do Sudoeste,4124400,Municípios,324.5,False
Santo Inácio,412450,AMC 70-00,294.5,False
Santo Inácio,412450,AMC 91-00,294.5,False
Santo Inácio,4124509,Municípios,294.5,False
São Carlos do Ivaí,412460,AMC 91-00,215.9,False
São Carlos do Ivaí,412460,AMC 60-00,215.9,
São Carlos do Ivaí,412460,AMC 70-00,215.9,False
São Carlos do Ivaí,4124608,Municípios,215.9,False
São Jerônimo da Serra,412470,AMC 70-00,826.6,False
São Jerônimo da Serra,412470,AMC 91-00,826.6,False
São Jerônimo da Serra,4124707,Municípios,826.6,False
São João,412480,AMC 91-00,371.8,False
São João,412480,AMC 70-00,371.8,False
São João,4124806,Municípios,371.8,False
São João do Caiuá,412490,AMC 70-00,304.1,False
São João do Caiuá,412490,AMC 91-00,304.1,False
São João do Caiuá,4124905,Municípios,304.1,False
São João do Ivaí,412500,AMC 91-00,351.6,False
São João do Ivaí,4125001,Municípios,351.6,False
São João do Triunfo,412510,AMC 40-00,717.1,
São João do Triunfo,412510,AMC 91-00,717.1,False
São João do Triunfo,412510,AMC 60-00,717.1,
São João do Triunfo,412510,AMC 70-00,717.1,False
São João do Triunfo,4125100,Municípios,717.1,False
São Jorge d'Oeste,412520,AMC 70-00,382.2,False
São Jorge d'Oeste,412520,AMC 91-00,382.2,False
São Jorge d'Oeste,4125209,Municípios,382.2,False
São Jorge do Ivaí,412530,AMC 91-00,320.6,False
São Jorge do Ivaí,412530,AMC 70-00,320.6,False
São Jorge do Ivaí,4125308,Municípios,320.6,False
São Jorge do Patrocínio,412535,AMC 91-00,242.8,False
São Jorge do Patrocínio,4125357,Municípios,242.8,False
São José da Boa Vista,412540,AMC 91-00,403.5,False
São José da Boa Vista,412540,AMC 70-00,403.5,False
São José da Boa Vista,4125407,Municípios,403.5,False
São José das Palmeiras,412545,AMC 91-00,181.2,False
São José das Palmeiras,4125456,Municípios,181.2,False
São José dos Pinhais,412550,AMC 91-00,931.7,False
São José dos Pinhais,412550,AMC 70-00,931.7,False
São José dos Pinhais,4125506,Municípios,931.7,False
São Manoel do Paraná,4125555,Municípios,95.1,False
São Mateus do Sul,412560,AMC 40-00,1345.2,
São Mateus do Sul,412560,AMC 20-00,1345.2,
São Mateus do Sul,412560,AMC 70-00,1345.2,False
São Mateus do Sul,412560,AMC 91-00,1345.2,False
São Mateus do Sul,412560,AMC 60-00,1345.2,
São Mateus do Sul,4125605,Municípios,1345.2,False
São Miguel do Iguaçu,4125704,Municípios,853.1,False
São Pedro do Iguaçu,4125753,Municípios,291.8,False
São Pedro do Ivaí,412580,AMC 91-00,323.3,False
São Pedro do Ivaí,412580,AMC 70-00,323.3,False
São Pedro do Ivaí,4125803,Municípios,323.3,False
São Pedro do Paraná,412590,AMC 70-00,266.9,False
São Pedro do Paraná,412590,AMC 91-00,266.9,False
São Pedro do Paraná,4125902,Municípios,266.9,False
São Sebastião da Amoreira,412600,AMC 91-00,227.0,False
São Sebastião da Amoreira,412600,AMC 70-00,227.0,False
São Sebastião da Amoreira,4126009,Municípios,227.0,False
São Tomé,412610,AMC 70-00,219.7,False
São Tomé,412610,AMC 91-00,219.7,False
São Tomé,4126108,Municípios,219.7,False
Sapopema,412620,AMC 91-00,672.0,False
Sapopema,412620,AMC 70-00,672.0,False
Sapopema,4126207,Municípios,672.0,False
Sarandi,412625,AMC 91-00,104.3,False
Sarandi,4126256,Municípios,104.3,False
Saudade do Iguaçu,4126272,Municípios,151.3,False
Sengés,412630,AMC 40-00,1374.3,
