code,date,value,uname,tcode
ADH_IDHM,10957.0,0.613,Municipality,1100205
ADH_IDHM,14610.0,0.736,Municipality,1100205
ADH_IDHM,7670.0,0.348,Municipality,1100254
ADH_IDHM,10957.0,0.485,Municipality,1100254
ADH_IDHM,14610.0,0.664,Municipality,1100254
ADH_IDHM,7670.0,0.259,Municipality,1100262
ADH_IDHM,10957.0,0.441,Municipality,1100262
ADH_IDHM,14610.0,0.643,Municipality,1100262
ADH_IDHM,7670.0,0.383,Municipality,1100288
ADH_IDHM,10957.0,0.559,Municipality,1100288
ADH_IDHM,14610.0,0.7,Municipality,1100288
ADH_IDHM,7670.0,0.289,Municipality,1100296
ADH_IDHM,10957.0,0.482,Municipality,1100296
ADH_IDHM,14610.0,0.67,Municipality,1100296
ADH_IDHM,7670.0,0.498,Municipality,1100304
ADH_IDHM,10957.0,0.62,Municipality,1100304
ADH_IDHM,14610.0,0.731,Municipality,1100304
ADH_IDHM,7670.0,0.252,Municipality,1100320
ADH_IDHM,10957.0,0.409,Municipality,1100320
ADH_IDHM,14610.0,0.646,Municipality,1100320
ADH_IDHM,7670.0,0.336,Municipality,1100338
ADH_IDHM,10957.0,0.446,Municipality,1100338
ADH_IDHM,14610.0,0.587,Municipality,1100338
ADH_IDHM,7670.0,0.313,Municipality,1100346
ADH_IDHM,10957.0,0.469,Municipality,1100346
ADH_IDHM,14610.0,0.643,Municipality,1100346
ADH_IDHM,7670.0,0.241,Municipality,1100379
ADH_IDHM,10957.0,0.402,Municipality,1100379
ADH_IDHM,14610.0,0.592,Municipality,1100379
ADH_IDHM,7670.0,0.269,Municipality,1100403
ADH_IDHM,10957.0,0.446,Municipality,1100403
ADH_IDHM,14610.0,0.625,Municipality,1100403
ADH_IDHM,7670.0,0.325,Municipality,1100452
ADH_IDHM,10957.0,0.415,Municipality,1100452
ADH_IDHM,14610.0,0.616,Municipality,1100452
ADH_IDHM,7670.0,0.199,Municipality,1100502
ADH_IDHM,10957.0,0.442,Municipality,1100502
ADH_IDHM,14610.0,0.634,Municipality,1100502
ADH_IDHM,7670.0,0.283,Municipality,1100601
ADH_IDHM,10957.0,0.454,Municipality,1100601
ADH_IDHM,14610.0,0.646,Municipality,1100601
ADH_IDHM,7670.0,0.293,Municipality,1100700
ADH_IDHM,10957.0,0.432,Municipality,1100700
ADH_IDHM,14610.0,0.593,Municipality,1100700
ADH_IDHM,7670.0,0.366,Municipality,1100809
ADH_IDHM,10957.0,0.478,Municipality,1100809
ADH_IDHM,14610.0,0.649,Municipality,1100809
ADH_IDHM,7670.0,0.221,Municipality,1100908
ADH_IDHM,10957.0,0.498,Municipality,1100908
ADH_IDHM,14610.0,0.658,Municipality,1100908
ADH_IDHM,7670.0,0.281,Municipality,1100924
ADH_IDHM,10957.0,0.479,Municipality,1100924
ADH_IDHM,14610.0,0.652,Municipality,1100924
ADH_IDHM,7670.0,0.237,Municipality,1100940
ADH_IDHM,10957.0,0.425,Municipality,1100940
ADH_IDHM,14610.0,0.612,Municipality,1100940
ADH_IDHM,7670.0,0.217,Municipality,1101005
ADH_IDHM,10957.0,0.38,Municipality,1101005
ADH_IDHM,14610.0,0.596,Municipality,1101005
ADH_IDHM,7670.0,0.349,Municipality,1101104
ADH_IDHM,10957.0,0.478,Municipality,1101104
ADH_IDHM,14610.0,0.614,Municipality,1101104
ADH_IDHM,7670.0,0.277,Municipality,1101203
ADH_IDHM,10957.0,0.467,Municipality,1101203
ADH_IDHM,14610.0,0.638,Municipality,1101203
ADH_IDHM,7670.0,0.254,Municipality,1101302
ADH_IDHM,10957.0,0.47,Municipality,1101302
ADH_IDHM,14610.0,0.643,Municipality,1101302
ADH_IDHM,7670.0,0.27,Municipality,1101401
ADH_IDHM,10957.0,0.435,Municipality,1101401
ADH_IDHM,14610.0,0.607,Municipality,1101401
ADH_IDHM,7670.0,0.228,Municipality,1101435
ADH_IDHM,10957.0,0.405,Municipality,1101435
ADH_IDHM,14610.0,0.587,Municipality,1101435
ADH_IDHM,7670.0,0.174,Municipality,1101450
ADH_IDHM,10957.0,0.412,Municipality,1101450
ADH_IDHM,14610.0,0.617,Municipality,1101450
ADH_IDHM,7670.0,0.28,Municipality,1101468
ADH_IDHM,10957.0,0.524,Municipality,1101468
ADH_IDHM,14610.0,0.665,Municipality,1101468
ADH_IDHM,7670.0,0.284,Municipality,1101476
ADH_IDHM,10957.0,0.439,Municipality,1101476
ADH_IDHM,14610.0,0.641,Municipality,1101476
ADH_IDHM,7670.0,0.232,Municipality,1101484
ADH_IDHM,10957.0,0.466,Municipality,1101484
ADH_IDHM,14610.0,0.649,Municipality,1101484
ADH_IDHM,7670.0,0.298,Municipality,1101492
ADH_IDHM,10957.0,0.434,Municipality,1101492
ADH_IDHM,14610.0,0.611,Municipality,1101492
ADH_IDHM,7670.0,0.258,Municipality,1101500
ADH_IDHM,10957.0,0.439,Municipality,1101500
ADH_IDHM,14610.0,0.598,Municipality,1101500
ADH_IDHM,7670.0,0.226,Municipality,1101559
ADH_IDHM,10957.0,0.44,Municipality,1101559
ADH_IDHM,14610.0,0.643,Municipality,1101559
ADH_IDHM,7670.0,0.247,Municipality,1101609
ADH_IDHM,10957.0,0.402,Municipality,1101609
ADH_IDHM,14610.0,0.589,Municipality,1101609
ADH_IDHM,7670.0,0.23,Municipality,1101708
ADH_IDHM,10957.0,0.424,Municipality,1101708
ADH_IDHM,14610.0,0.609,Municipality,1101708
ADH_IDHM,7670.0,0.216,Municipality,1101757
ADH_IDHM,10957.0,0.409,Municipality,1101757
ADH_IDHM,14610.0,0.584,Municipality,1101757
ADH_IDHM,7670.0,0.247,Municipality,1101807
ADH_IDHM,10957.0,0.438,Municipality,1101807
ADH_IDHM,14610.0,0.627,Municipality,1101807
ADH_IDHM,7670.0,0.247,Municipality,1200013
ADH_IDHM,10957.0,0.451,Municipality,1200013
ADH_IDHM,14610.0,0.604,Municipality,1200013
ADH_IDHM,7670.0,0.314,Municipality,1200054
ADH_IDHM,10957.0,0.425,Municipality,1200054
ADH_IDHM,14610.0,0.588,Municipality,1200054
ADH_IDHM,7670.0,0.336,Municipality,1200104
ADH_IDHM,10957.0,0.476,Municipality,1200104
ADH_IDHM,14610.0,0.614,Municipality,1200104
ADH_IDHM,7670.0,0.267,Municipality,1200138
ADH_IDHM,10957.0,0.46,Municipality,1200138
ADH_IDHM,14610.0,0.589,Municipality,1200138
ADH_IDHM,7670.0,0.183,Municipality,1200179
ADH_IDHM,10957.0,0.365,Municipality,1200179
ADH_IDHM,14610.0,0.575,Municipality,1200179
ADH_IDHM,7670.0,0.398,Municipality,1200203
ADH_IDHM,10957.0,0.51,Municipality,1200203
ADH_IDHM,14610.0,0.664,Municipality,1200203
ADH_IDHM,7670.0,0.372,Municipality,1200252
ADH_IDHM,10957.0,0.474,Municipality,1200252
ADH_IDHM,14610.0,0.653,Municipality,1200252
ADH_IDHM,7670.0,0.258,Municipality,1200302
ADH_IDHM,10957.0,0.323,Municipality,1200302
ADH_IDHM,14610.0,0.539,Municipality,1200302
ADH_IDHM,7670.0,0.17,Municipality,1200328
ADH_IDHM,10957.0,0.222,Municipality,1200328
ADH_IDHM,14610.0,0.469,Municipality,1200328
ADH_IDHM,7670.0,0.298,Municipality,1200336
ADH_IDHM,10957.0,0.456,Municipality,1200336
