,Habitantes 2010,IDHM 2010,Receitas Correntes 2010 (R$),PIB 2010 (R$),Carga Tributária Municipal 2010
count,5494.0,5494.0,5494.0,5494.0,5494.0
mean,34029.678558427375,0.6597988714961776,58305885.021692745,678522.713674008,218.2221809632086
std,201509.08515103158,0.07170637524942586,452378856.9667811,7187343.040110098,121.72412765359319
min,805.0,0.418,1378584.08,7217.765,14.993724391862159
25%,5228.0,0.6,10245030.807500001,41310.4115,119.33323122728196
50%,10935.0,0.666,17087917.105,91310.7735,194.76242209024457
75%,23409.0,0.718,33730471.832499996,240692.53475,296.6957836737205
max,11253503.0,0.862,27664960370.24,450491987.985,804.5536432009242
